row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,,
Số đầu kỳ,Vốn đã góp của chủ sở hữu > Số đầu kỳ,Số đầu kỳ,5.200.346.670.000,3.500.714.120.000,5200346670000.0,3500714120000.0
Phát hành cổ phiếu cho cổ đông hiện hữu,Vốn đã góp của chủ sở hữu > Phát hành cổ phiếu cho cổ đông hiện hữu,Phát hành cổ phiếu cho cổ đông hiện hữu,-,874.553.390.000,,874553390000.0
Cổ tức bằng cổ phiếu,Vốn đã góp của chủ sở hữu > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,-,769.559.160.000,,769559160000.0
Phát hành cổ phiếu theo Chương trình lựa chọn cho người lao động,Vốn đã góp của chủ sở hữu > Phát hành cổ phiếu theo Chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo Chương trình lựa chọn cho người lao động,-,55.520.000.000,,55520000000.0
Số cuối kỳ,Vốn đã góp của chủ sở hữu > Số cuối kỳ,Số cuối kỳ,5.200.346.670.000,5.200.346.670.000,5200346670000.0,5200346670000.0
Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,Cổ tức đã công bố và đã trả trong năm,,
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,
Cổ tức bằng cổ phiếu đã công bố,Cổ tức trên cổ phiếu phổ thông > Cổ tức bằng cổ phiếu đã công bố,Cổ tức bằng cổ phiếu đã công bố,-,769.559.160.000,,769559160000.0
Cổ tức đã trả,Cổ tức trên cổ phiếu phổ thông > Cổ tức đã trả,Cổ tức đã trả,1.370.425,26.038.075,1370425.0,26038075.0
