row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,Tỷ lệ sở hữu %,Giá gốc đầu tư VND,,,,,,
"Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hã An"") (i)","Tên công ty con > Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hã An"") (i)","Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hã An"") (i)",Kinh doanh BĐS,Đang hoạt động,"99,99",4.195.017.224.626,"99,99",2.878.991.224.626,,,99.99,4195017224626.0,99.99,2878991224626.0
"Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"") (ii)","Tên công ty con > Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"") (ii)","Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh (""DXS"") (ii)",Kinh doanh BĐS,Đang hoạt động,"84,19",2.714.910.140.000,"90,50",2.714.910.140.000,,,84.19,2714910140000.0,90.5,2714910140000.0
"Công ty TNHH MTV Đất Xanh Hội An (""Đất Xanh Hội An"")","Tên công ty con > Công ty TNHH MTV Đất Xanh Hội An (""Đất Xanh Hội An"")","Công ty TNHH MTV Đất Xanh Hội An (""Đất Xanh Hội An"")",Kinh doanh BĐS,Đang hoạt động,100,999.980.000.000,100,1.000.000.000.000,,,100.0,999980000000.0,100.0,1000000000000.0
"Công ty Cổ phần Sài Gòn Riverview (""Saigon Riverview"")","Tên công ty con > Công ty Cổ phần Sài Gòn Riverview (""Saigon Riverview"")","Công ty Cổ phần Sài Gòn Riverview (""Saigon Riverview"")",Kinh doanh BĐS,Đang hoạt động,"99,99",349.650.000.000,"99,99",349.650.000.000,,,99.99,349650000000.0,99.99,349650000000.0
"Công ty Cổ phần Vicco Sài Gòn (""Vicco Saigon"")","Tên công ty con > Công ty Cổ phần Vicco Sài Gòn (""Vicco Saigon"")","Công ty Cổ phần Vicco Sài Gòn (""Vicco Saigon"")",Kinh doanh BĐS,Đang hoạt động,"99,99",257.855.025.849,"99,99",228.149.025.849,,,99.99,257855025849.0,99.99,228149025849.0
"Công ty Cổ phần Đầu tư Bất động sản Miền Bắc (""DXI"")","Tên công ty con > Công ty Cổ phần Đầu tư Bất động sản Miền Bắc (""DXI"")","Công ty Cổ phần Đầu tư Bất động sản Miền Bắc (""DXI"")",Kinh doanh và môi giới BĐS,Đang hoạt động,"99,99",51.704.440.894,100,51.754.440.894,,,99.99,51704440894.0,100.0,51754440894.0
"Công ty Cổ phần Xây dựng FBV (""Xây dựng FBV"")","Tên công ty con > Công ty Cổ phần Xây dựng FBV (""Xây dựng FBV"")","Công ty Cổ phần Xây dựng FBV (""Xây dựng FBV"")",Xây dựng,Đang hoạt động,"51,00",18.235.112.848,51,18.235.112.848,,,51.0,18235112848.0,51.0,18235112848.0
"Công ty TNHH Đầu tư Xây dựng Thương mại Xuân Đình (""Xuân Đình"") (iii)","Tên công ty con > Công ty TNHH Đầu tư Xây dựng Thương mại Xuân Đình (""Xuân Đình"") (iii)","Công ty TNHH Đầu tư Xây dựng Thương mại Xuân Đình (""Xuân Đình"") (iii)",Kinh doanh BĐS,Đang hoạt động,-,-,"99,99",205.000.000.000,,,,,99.99,205000000000.0
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,,,8.587.351.944.217,,7.446.689.944.217,,,,8587351944217.0,,7446689944217.0
Dư phòng đầu tư vào công ty con,Tên công ty con > Dư phòng đầu tư vào công ty con,Dư phòng đầu tư vào công ty con,,,,(139.242.640.229),,-,,,,-139242640229.0,,
GIA TRỊ THUẢN,Tên công ty con > GIA TRỊ THUẢN,GIA TRỊ THUẢN,,,,8.448.109.303.988,,7.446.689.944.217,,,,8448109303988.0,,7446689944217.0
