row_label_raw,row_label_full,Cho vay bên liên quan (Thuyết minh số 30),Số cuối năm > 81.933.113.717,VND Số đầu năm > 73.097.777.552,numeric__Số cuối năm > 81.933.113.717,numeric__VND Số đầu năm > 73.097.777.552
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,72.296.113.717,44.388.934.820,72296113717.0,44388934820.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,9.637.000.000,28.708.842.732,9637000000.0,28708842732.0
Chỉ tiết các khoản cho vay tín chấp như sau:,Chỉ tiết các khoản cho vay tín chấp như sau:,Chỉ tiết các khoản cho vay tín chấp như sau:,Chỉ tiết các khoản cho vay tín chấp như sau:,Chỉ tiết các khoản cho vay tín chấp như sau:,,
Bên vay,Bên vay,Bên vay,Số cuối năm VND,Lãi suất,,
Công ty Cổ phần Đầu tư Bất động sản Miền Bắc,Bên vay > Công ty Cổ phần Đầu tư Bất động sản Miền Bắc,Công ty Cổ phần Đầu tư Bất động sản Miền Bắc,41.867.336.165,từ 10% đến 15%,41867336165.0,
"Công ty Cổ phần Sài Gòn Riverview (""Saigon Riverview"")","Bên vay > Công ty Cổ phần Sài Gòn Riverview (""Saigon Riverview"")","Công ty Cổ phần Sài Gòn Riverview (""Saigon Riverview"")",38.345.842.732,8%,38345842732.0,0.08
"Công ty Cổ phần Đầu tư Dầu khí Nha Trang (""Dầu khí Nha Trang"")","Bên vay > Công ty Cổ phần Đầu tư Dầu khí Nha Trang (""Dầu khí Nha Trang"")","Công ty Cổ phần Đầu tư Dầu khí Nha Trang (""Dầu khí Nha Trang"")",1.719.934.820,từ 5% đến 10%,1719934820.0,
TỔNG CỘNG,Bên vay > TỔNG CỘNG,TỔNG CỘNG,81.933.113.717,,81933113717.0,
