row_label_raw,row_label_full,Đất XanhNam Trung Bộ > Đất XanhMiền Nam > Đất XanhĐông Nam Bộ,Công ty con,Vốn góp theoHĐKTKD > Thu hộ kháchhàng cá nhânmua căn hồ > Vốn góp theoHĐHTKD,105.913.184.000 > 23.382.852.455 > 21.000.000.000,106.913.184.000 > - > 25.643.364.000,numeric__Công ty con,numeric__Vốn góp theoHĐKTKD > Thu hộ kháchhàng cá nhânmua căn hồ > Vốn góp theoHĐHTKD,numeric__105.913.184.000 > 23.382.852.455 > 21.000.000.000,numeric__106.913.184.000 > - > 25.643.364.000
Đất XanhMiền Bắc,Đất XanhMiền Bắc,Đất XanhMiền Bắc,Công ty con,Vốn góp theoHĐHTKD,13.266.000.000,47.887.084.998,,,13266000000.0,47887084998.0
DXI,DXI,DXI,Công ty con,Lãi cho vay,4.443.297.908,1.473.386.302,,,4443297908.0,1473386302.0
Sài Gòn Riverview,Sài Gòn Riverview,Sài Gòn Riverview,Công ty con,Lãi cho vay,3.375.954.827,451.159.120,,,3375954827.0,451159120.0
Vicco Sài Gòn,Vicco Sài Gòn,Vicco Sài Gòn,Công ty con,Kỳ quỹ,2.566.070.280,2.566.070.280,,,2566070280.0,2566070280.0
Ông Lương Trí Tù,Ông Lương Trí Tù,Ông Lương Trí Tù,Cổ đông,Tạm ứng,1.793.413.900,1.793.713.900,,,1793413900.0,1793713900.0
Dầu khí NhaTrang,Dầu khí NhaTrang,Dầu khí NhaTrang,Công ty con,Lãi cho vay,224.812.238,-,,,224812238.0,
Đất XanhMiền Trung,Đất XanhMiền Trung,Đất XanhMiền Trung,Công ty con,Vốn góp theoHĐHTKD,-,22.673.326.400,,,,22673326400.0
DXS,DXS,DXS,Công ty con,Cổ tức,-,2.125.818.182,,,,2125818182.0
Bên khác,Bên khác,Bên khác,Khác,Khác,93.103.726,36.096.326,,,93103726.0,36096326.0
,,,,,176.058.689.334,211.563.203.508,,,176058689334.0,211563203508.0
