row_label_raw,row_label_full,Năm 2022,Môi giới và dịch vụ khách hàng (1) > Năm 2022,Tư doanh > Năm 2022,Kinh doanh nguồn vốn > Năm 2022,Ngân hàng đầu tư và các bộ phận khác > Năm 2022,Đơn vị tính: VND Tổng cộng > Năm 2022,numeric__Môi giới và dịch vụ khách hàng (1) > Năm 2022,numeric__Tư doanh > Năm 2022,numeric__Kinh doanh nguồn vốn > Năm 2022,numeric__Ngân hàng đầu tư và các bộ phận khác > Năm 2022,numeric__Đơn vị tính: VND Tổng cộng > Năm 2022
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,3.566.569.357.554,1.979.076.955.641,631.425.542.014,77.985.442.940,6.255.057.298.149,3566569357554.0,1979076955641.0,631425542014.0,77985442940.0,6255057298149.0
2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,1.995.279.220.358,1.446.842.291.274,465.160.057.848,72.700.084.915,3.979.981.654.395,1995279220358.0,1446842291274.0,465160057848.0,72700084915.0,3979981654395.0
3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,194.629.671.891,26.960.035.704,17.101.921.638,33.631.963.731,272.323.592.964,194629671891.0,26960035704.0,17101921638.0,33631963731.0,272323592964.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,1.376.660.465.305,505.274.628.663,149.163.562.528,(28.346.605.706),2.002.752.050.790,1376660465305.0,505274628663.0,149163562528.0,-28346605706.0,2002752050790.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2022 > 1. Tài sản bộ phận,1. Tài sản bộ phận,11.088.129.508.153,33.077.367.839.942,6.155.203.737.970,4.006.195.632,50.324.707.281.697,11088129508153.0,33077367839942.0,6155203737970.0,4006195632.0,50324707281697.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2022 > 2. Tài sản phân bổ,2. Tài sản phân bổ,346.263.871.662,47.964.353.287,30.425.872.590,59.834.319.505,484.488.417.044,346263871662.0,47964353287.0,30425872590.0,59834319505.0,484488417044.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2022 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,765.962.298.503,,,,,765962298503.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2022 > Tổng tài sản,Tổng tài sản,11.434.393.379.815,33.125.332.193.229,6.185.629.610.560,63.840.515.137,51.575.157.997.244,11434393379815.0,33125332193229.0,6185629610560.0,63840515137.0,51575157997244.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2022 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,9.815.150.558.266,16.543.380.035.447,2.770.836.107.110,5.165.197.390,29.134.531.898.213,9815150558266.0,16543380035447.0,2770836107110.0,5165197390.0,29134531898213.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2022 > 5. Nợ phân bổ,5. Nợ phân bổ,308.683.782.486,42.758.772.165,27.123.746.383,53.340.488.509,431.906.789.543,308683782486.0,42758772165.0,27123746383.0,53340488509.0,431906789543.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2022 > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,149.535.594.692,,,,,149535594692.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2022 > Tổng công nợ,Tổng công nợ,10.123.834.340.752,16.586.138.807.612,2.797.959.853.493,58.505.685.899,29.715.974.282.448,10123834340752.0,16586138807612.0,2797959853493.0,58505685899.0,29715974282448.0
