row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hợp lý (3),Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hợp lý (3),numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hợp lý (3),numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hợp lý (3)
Cho vay hoạt động ký quỹ (1),Cho vay hoạt động ký quỹ (1),Cho vay hoạt động ký quỹ (1),10.871.610.987.845,10.866.613.664.983,22.745.638.861.021,22.715.564.511.306,10871610987845.0,10866613664983.0,22745638861021.0,22715564511306.0
Cho vay hoạt động ứng trước tiền bán của khách hàng (2),Cho vay hoạt động ứng trước tiền bán của khách hàng (2),Cho vay hoạt động ứng trước tiền bán của khách hàng (2),185.552.102.332,185.552.102.332,945.347.041.803,945.347.041.803,185552102332.0,185552102332.0,945347041803.0,945347041803.0
Các khoản khác,Các khoản khác,Các khoản khác,-,-,6.901.338.630,6.901.338.630,,,6901338630.0,6901338630.0
Tổng cộng,Tổng cộng,Tổng cộng,11.057.163.090.177,11.052.165.767.315,23.697.887.241.454,23.667.812.891.739,11057163090177.0,11052165767315.0,23697887241454.0,23667812891739.0
