row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá trị hợp lý,Số dư chênh lệch đánh giá lại cuối năm,Số dư chênh lệch đánh giá lại đầu năm,Đơn vị tỉnh: VND Chênh lệch thuần điều chỉnh số kế toán trong năm,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá trị hợp lý,numeric__Số dư chênh lệch đánh giá lại cuối năm,numeric__Số dư chênh lệch đánh giá lại đầu năm,numeric__Đơn vị tỉnh: VND Chênh lệch thuần điều chỉnh số kế toán trong năm
I,I,I,Loại FVTPL (tiếp theo),,,,,,,,,,,
3,I > 3,3,Cổ phiếu và chứng chỉ quỹ chưa niêm yết,576.830.917.590,559.224.387.540,(17.606.530.050),(19.810.683.153),2.204.153.103,,576830917590.0,559224387540.0,-17606530050.0,-19810683153.0,2204153103.0
4,I > 4,4,Trái phiếu niêm yết,725.141.081.348,718.194.237.616,(6.946.843.732),-,(6.946.843.732),,725141081348.0,718194237616.0,-6946843732.0,,-6946843732.0
5,I > 5,5,Trái phiếu chưa niêm yết,12.175.839.946.558,12.175.839.946.558,-,-,-,,12175839946558.0,12175839946558.0,,,
6,I > 6,6,Chứng chỉ tiền gửi,16.289.790.890.390,16.289.790.890.390,-,-,-,,16289790890390.0,16289790890390.0,,,
II,I > II,II,Loại AFS,389.566.237.912,381.708.255.604,(7.857.982.308),(4.741.291.386),(3.116.690.922),,389566237912.0,381708255604.0,-7857982308.0,-4741291386.0,-3116690922.0
1,I > 1,1,Cổ phiếu niêm yết,125.504.190.922,122.387.500.000,(3.116.690.922),-,(3.116.690.922),,125504190922.0,122387500000.0,-3116690922.0,,-3116690922.0
2,I > 2,2,Cổ phiếu chưa niêm yết,241.682.764.524,236.941.473.138,(4.741.291.386),(4.741.291.386),-,,241682764524.0,236941473138.0,-4741291386.0,-4741291386.0,
3,I > 3,3,Trái phiếu chưa niêm yết,22.379.282.466,22.379.282.466,-,-,-,,22379282466.0,22379282466.0,,,
,,,Tổng cộng,30.734.826.790.308,30.660.953.572.598,(73.873.217.710),(10.421.595.709),(63.451.622.001),,30734826790308.0,30660953572598.0,-73873217710.0,-10421595709.0,-63451622001.0
