row_label_raw,row_label_full,Các loại tài sảntài chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,30.345.260.552.396,2.355.302.367,(68.370.537.769),30.279.245.316.994,11.752.764.633.922,42.657.244.536,(48.337.548.859),11.747.084.329.599,30345260552396.0,2355302367.0,-68370537769.0,30279245316994.0,11752764633922.0,42657244536.0,-48337548859.0,11747084329599.0
Cổ phiếu vàchứng khoánniêm yết,Cổ phiếu vàchứng khoánniêm yết,Cổ phiếu vàchứng khoánniêm yết,545.312.296.959,110.514.308,(40.860.842.627),504.561.968.640,1.009.557.613.272,32.012.288.313,(15.301.274.325),1.026.268.627.260,545312296959.0,110514308.0,-40860842627.0,504561968640.0,1009557613272.0,32012288313.0,-15301274325.0,1026268627260.0
Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,Cổ phiếu niêmyết cho hoạtđộng phòngngửa rủi ro củachứng quyền,32.345.419.551,40.634.964,(752.168.265),31.633.886.250,756.070.971.658,10.644.956.223,(13.225.591.381),753.490.336.500,32345419551.0,40634964.0,-752168265.0,31633886250.0,756070971658.0,10644956223.0,-13225591381.0,753490336500.0
Cổ phiếu vàChứng chỉ quÿchưa niêm yết,Cổ phiếu vàChứng chỉ quÿchưa niêm yết,Cổ phiếu vàChứng chỉ quÿchưa niêm yết,576.830.917.590,2.204.153.095,(19.810.683.145),559.224.387.540,54.339.454.020,-,(19.810.683.153),34.528.770.867,576830917590.0,2204153095.0,-19810683145.0,559224387540.0,54339454020.0,,-19810683153.0,34528770867.0
Trải phiếu niêmyết,Trải phiếu niêmyết,Trải phiếu niêmyết,725.141.081.348,-,(6.946.843.732),718.194.237.616,100.074.600.000,-,-,100.074.600.000,725141081348.0,,-6946843732.0,718194237616.0,100074600000.0,,,100074600000.0
Trải phiếu chuaniêm yết,Trải phiếu chuaniêm yết,Trải phiếu chuaniêm yết,12.175.839.946.558,-,-,12.175.839.946.558,3.109.933.782.682,-,-,3.109.933.782.682,12175839946558.0,,,12175839946558.0,3109933782682.0,,,3109933782682.0
Chứng chỉ tiêngửi,Chứng chỉ tiêngửi,Chứng chỉ tiêngửi,16.289.790.890.390,-,-,16.289.790.890.390,6.722.788.212.290,-,-,6.722.788.212.290,16289790890390.0,,,16289790890390.0,6722788212290.0,,,6722788212290.0
AFS,AFS,AFS,389.566.237.912,4.320.734.436,(12.178.716.744),381.708.255.604,276.320.839.155,-,(4.741.291.386),271.579.547.769,389566237912.0,4320734436.0,-12178716744.0,381708255604.0,276320839155.0,,-4741291386.0,271579547769.0
Cổ phiếu niêmyết,Cổ phiếu niêmyết,Cổ phiếu niêmyết,125.504.190.922,4.320.734.436,(7.437.425.358),122.387.500.000,-,-,-,-,125504190922.0,4320734436.0,-7437425358.0,122387500000.0,,,,
Cổ phiếu chuaniêm yết,Cổ phiếu chuaniêm yết,Cổ phiếu chuaniêm yết,241.682.764.524,-,(4.741.291.386),236.941.473.138,276.320.839.155,-,(4.741.291.386),271.579.547.769,241682764524.0,,-4741291386.0,236941473138.0,276320839155.0,,-4741291386.0,271579547769.0
Trải phiếuchưa niêm yết,Trải phiếuchưa niêm yết,Trải phiếuchưa niêm yết,22.379.282.466,-,-,22.379.282.466,-,-,-,-,22379282466.0,,,22379282466.0,,,,
Tổng cộng,Tổng cộng,Tổng cộng,30.734.826.790.308,6.676.036.803,(80.549.254.513),30.660.953.572.598,12.029.085.473.077,42.657.244.536,(53.078.840.245),12.018.663.877.368,30734826790308.0,6676036803.0,-80549254513.0,30660953572598.0,12029085473077.0,42657244536.0,-53078840245.0,12018663877368.0
