row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả) > Số đầu năm,Phải thu/(phải trả) > Tăng trong năm,Phải thu/(phải trả) > Giảm trong năm,Phải thu/(phải trả) > Số cuối năm,Đơn vị tính: VNDDoanh thu/(chi phí),numeric__Giao dịch,numeric__Phải thu/(phải trả) > Số đầu năm,numeric__Phải thu/(phải trả) > Tăng trong năm,numeric__Phải thu/(phải trả) > Giảm trong năm,numeric__Phải thu/(phải trả) > Số cuối năm,numeric__Đơn vị tính: VNDDoanh thu/(chi phí)
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,993.485.034,(993.485.034),-,993.485.034,,,993485034.0,-993485034.0,,993485034.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu hợp đồng tư vấn,5.231.111.200,1.393.128.000,(5.396.111.200),1.228.128.000,1.266.480.000,,5231111200.0,1393128000.0,-5396111200.0,1228128000.0,1266480000.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,"Giao dịch mua chứng khoán, chứng chỉ tiền gửi",-,(8.143.832.872.000),8.143.832.872.000,-,-,,,-8143832872000.0,8143832872000.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,"Giao dịch bán chứng khoán, chứng chỉ tiền gửi",-,7.020.936.494.000,(7.020.936.494.000),-,8.260.662.792,,,7020936494000.0,-7020936494000.0,,8260662792.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Chỉ phí mua hàng hóa,-,(85.252.675),85.252.675,-,(85.252.675),,,-85252675.0,85252675.0,,-85252675.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Ứng trước hợp đồng tư vấn,(100.000.000),(100.000.000),-,(200.000.000),-,,-100000000.0,-100000000.0,,-200000000.0,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Cổ tức được nhận,-,1.473.672.500,(1.473.672.500),-,1.473.672.500,,,1473672500.0,-1473672500.0,,1473672500.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Nhận hợp đồng quản lý tiền gửi và khác,(289.881.621.991),(4.617.950.117.663),4.075.035.671.806,(832.796.067.848),-,,-289881621991.0,-4617950117663.0,4075035671806.0,-832796067848.0,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Lãi hợp đồng quản lý tiền gửi phải trả và khác,(351.216.160),(45.374.990.519),44.200.272.279,(1.525.934.400),(41.083.323.852),,-351216160.0,-45374990519.0,44200272279.0,-1525934400.0,-41083323852.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Phải trả khác,-,(143.307.538),143.307.538,-,-,,,-143307538.0,143307538.0,,
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,296.549.396,(296.549.396),-,296.549.396,,,296549396.0,-296549396.0,,296549396.0
Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Công ty TNHH MTV Nguyễn Sài Gòn,Cổ tức SSI,-,(2.500.001.000),2.500.001.000,-,-,,,-2500001000.0,2500001000.0,,
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,50.878.484,(50.878.484),-,50.878.484,,,50878484.0,-50878484.0,,50878484.0
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Nhận hợp đồng quản lý tiền gửi và khác,-,(173.059.328.893),173.059.328.893,-,-,,,-173059328893.0,173059328893.0,,
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Lãi hợp đồng quản lý tiền gửi phải trả và khác,-,(23.694.950),23.694.950,-,(23.694.950),,,-23694950.0,23694950.0,,-23694950.0
Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Công ty TNHH Bất động sản Sài Gòn Đan Linh,Cổ tức SSI,-,(54.901.068.000),54.901.068.000,-,-,,,-54901068000.0,54901068000.0,,
