row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Chỉ tiêu,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
I,I,I,Thuế,350.479.493.877,1.307.423.334.149,1.545.129.732.215,112.773.095.811,,350479493877.0,1307423334149.0,1545129732215.0,112773095811.0
1,1,1,Thuế giả trị gia tăng,1.836.459.274,6.623.624.060,7.739.319.905,720.763.429,,1836459274.0,6623624060.0,7739319905.0,720763429.0
2,2,2,Thuế thu nhập doanh nghiệp(Thuyết minh số 39.1),222.198.744.178,439.388.503.157,628.892.071.241,32.695.176.094,,222198744178.0,439388503157.0,628892071241.0,32695176094.0
3,3,3,Các loại thuế khác,126.444.290.425,861.411.206.932,908.498.341.069,79.357.156.288,,126444290425.0,861411206932.0,908498341069.0,79357156288.0
3,3,3,Thuế thu nhập cá nhân,27.199.940.791,166.633.942.426,177.547.375.980,16.286.507.237,,27199940791.0,166633942426.0,177547375980.0,16286507237.0
3,3,3,Thuế thu nhập cá nhân nộp hộ nhà đầu tư,91.130.438.133,624.394.333.615,658.361.651.528,57.163.120.220,,91130438133.0,624394333615.0,658361651528.0,57163120220.0
3,3,3,Thuế môn bài,-,15.000.000,15.000.000,-,,,15000000.0,15000000.0,
3,3,3,Thuế khác (thuế nhà thầu),8.113.911.501,70.367.930.891,72.574.313.561,5.907.528.831,,8113911501.0,70367930891.0,72574313561.0,5907528831.0
II,II,II,Các khoản phải nộp khác,-,19.026.311,19.026.311,-,,,19026311.0,19026311.0,
II,II,II,Tổng cộng,350.479.493.877,1.307.442.360.460,1.545.148.758.526,112.773.095.811,,350479493877.0,1307442360460.0,1545148758526.0,112773095811.0
