row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/ (chi phi),numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/ (chi phi)
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu năm,Tăng trong năm,Giảm trong năm,Số cuối năm,Doanh thu/ (chi phi),,,,,,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Góp vốn đầu tư,274.400.000.000,129.600.000.000,-,404.000.000.000,-,,274400000000.0,129600000000.0,,404000000000.0,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Khoản ứng trước,129.600.000.000,-,(129.600.000.000),-,-,,129600000000.0,,-129600000000.0,,
Quỹ đầu tư thành viên SSI,Công ty liên quan > Quỹ đầu tư thành viên SSI,Quỹ đầu tư thành viên SSI,Giao dịch mua chứng khoán,-,(4.497.000.000),4.497.000.000,-,-,,,-4497000000.0,4497000000.0,,
Quỹ đầu tư Công nghệ số Việt Nam,Công ty liên quan > Quỹ đầu tư Công nghệ số Việt Nam,Quỹ đầu tư Công nghệ số Việt Nam,Góp vốn đầu tư,10.000.000.000,-,-,10.000.000.000,-,,10000000000.0,,,10000000000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Góp vốn đầu tư,75.000.000.000,-,-,75.000.000.000,-,,75000000000.0,,,75000000000.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Doanh thu giao dịch và dịch vụ chứng khoán khác,190.342.109,2.569.124.854,(2.594.088.898),165.378.065,2.499.694.359,,190342109.0,2569124854.0,-2594088898.0,165378065.0,2499694359.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Số dư danh mục ủy thác đầu tư,343.483.248.183,392.783.003.451,(140.184.353.951),596.081.897.683,-,,343483248183.0,392783003451.0,-140184353951.0,596081897683.0,
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),Chi phí quản lý danh mục,(5.156.262.011),(16.970.071.239),12.542.419.698,(9.583.913.552),(16.970.071.239),,-5156262011.0,-16970071239.0,12542419698.0,-9583913552.0,-16970071239.0
Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty liên quan > Công ty TNHH Quản lý Quỹ SSI (SSIAM),Công ty TNHH Quản lý Quỹ SSI (SSIAM),"Giao dịch bán chứng khoán, CCTG",-,258.382.389.601,(258.382.389.601),-,240.472.015,,,258382389601.0,-258382389601.0,,240472015.0
