row_label_raw,row_label_full,Hoàn nhập dự phòng suy giảm giá trị các khoản cho vay,Năm nay > (621.440.964),Đơn vị tính: VND > Năm trước > (22.249.965),numeric__Năm nay > (621.440.964),numeric__Đơn vị tính: VND > Năm trước > (22.249.965)
Hoàn nhập dự phòng phải thu tiền bán chứng khoán khó đòi,Hoàn nhập dự phòng phải thu tiền bán chứng khoán khó đòi,Hoàn nhập dự phòng phải thu tiền bán chứng khoán khó đòi,(1.242.906.276),(57.404.239.582),-1242906276.0,-57404239582.0
Trích lập dự phòng suy giảm giá trị tài sản tài chính sẵn sàng để bán,Trích lập dự phòng suy giảm giá trị tài sản tài chính sẵn sàng để bán,Trích lập dự phòng suy giảm giá trị tài sản tài chính sẵn sàng để bán,,14.110.196.600,,14110196600.0
Tổng cộng,Tổng cộng,Tổng cộng,(1.864.347.240),(43.316.292.947),-1864347240.0,-43316292947.0
