row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
,,,A. TÀI SẢN CỦA CÔNG TY CHỨNG KHOÁN (CTCK) VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT,,,,,,,
004,004,004,Nợ khó đòi đã xử lý (VND),,39.596.726.729,5.513.835.807,,,39596726729.0,5513835807.0
006,006,006,Cổ phiếu đang lưu hành (số lượng),27.3,1.489.138.669,982.343.473,,273.0,1489138669.0,982343473.0
007,007,007,Cổ phiếu quỹ (số lượng),27.3,1.991.468,2.406.549,,273.0,1991468.0,2406549.0
008,008,008,Tài sản tài chính niêm yết/đăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),28.1,1.177.265.200.000,608.425.570.000,,281.0,1177265200000.0,608425570000.0
009,009,009,Tài sản tài chính đã lưu ký tại Trung tâm Lưu ký Chứng khoán và chưa giao dịch của CTCK (VND),28.2,10.484.320.000,20.480.520.000,,282.0,10484320000.0,20480520000.0
010,010,010,Tài sản tài chính chờ về của CTCK (VND),28.3,8.656.000.000,21.549.000.000,,283.0,8656000000.0,21549000000.0
012,012,012,Tài sản tài chính chưa lưu ký tại Trung tâm Lưu ký Chứng khoán của CTCK (VND),28.4,14.641.714.640.000,6.248.649.810.000,,284.0,14641714640000.0,6248649810000.0
013,013,013,Tài sản tài chính được hưởng quyền của CTCK (VND),,30.000,1.006.880.000,,,30000.0,1006880000.0
014,014,014,Chứng quyền (số lượng),,139.652.200,173.131.400,,,139652200.0,173131400.0
,,,B. TÀI SẢN VÀ CÁC KHOÁN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỐI KHÁCH HÀNG,,,,,,,
021,021,021,Tài sản tài chính niêm yết/đăng ký giao dịch tại Trung tâm Lưu ký Chứng khoán của Nhà đầu tư (VND),28.5,86.914.415.659.420,78.192.708.630.000,,285.0,86914415659420.0,78192708630000.0
021.1,021.1,021.1,Tài sản tài chính giao dịch tự do chuyển nhượng,,71.772.504.608.420,63.676.892.129.000,,,71772504608420.0,63676892129000.0
021.2,021.2,021.2,Tài sản tài chính hạn chế chuyển nhượng,,1.600.752.740.000,1.164.444.740.000,,,1600752740000.0,1164444740000.0
021.3,021.3,021.3,Tài sản tài chính giao dịch cấm cố,,12.563.910.520.000,11.559.652.470.000,,,12563910520000.0,11559652470000.0
021.4,021.4,021.4,"Tài sản tài chính phong tỏa, tạm giữ",,283.790.610.000,269.126.600.000,,,283790610000.0,269126600000.0
021.5,021.5,021.5,Tài sản tài chính chờ thanh toán,,693.457.181.000,1.522.592.691.000,,,693457181000.0,1522592691000.0
