row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,Số dư đầu năm > Ngày 01 tháng 01 năm 2021 > VND,Số dư đầu năm > Ngày 01 tháng 01 năm 2022 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2021 > VND,Số dư cuối năm > Ngày 31 tháng 12 năm 2022 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2021 > VND,numeric__Số dư đầu năm > Ngày 01 tháng 01 năm 2022 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2021 > VND,numeric__Số dư cuối năm > Ngày 31 tháng 12 năm 2022 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐÔNG VỐN CHỦ SỐ HỮU,I. BIÊN ĐÔNG VỐN CHỦ SỐ HỮU,I. BIÊN ĐÔNG VỐN CHỦ SỐ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐÔNG VỐN CHỦ SỐ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,6.138.044.019.034,10.642.685.440.635,4.634.136.014.323,(129.494.592.722),7.544.558.359.871,4.163.035.729,10.642.685.440.635,18.191.406.836.235,,6138044019034.0,10642685440635.0,4634136014323.0,-129494592722.0,7544558359871.0,4163035729.0,10642685440635.0,18191406836235.0
1.1. Cổ phiếu phổ thông,I. BIÊN ĐÔNG VỐN CHỦ SỐ HỮU > 1.1. Cổ phiếu phổ thông,1.1. Cổ phiếu phổ thông,,6.029.456.130.000,9.847.500.220.000,3.818.044.090.000,-,5.063.801.150.000,-,9.847.500.220.000,14.911.301.370.000,,6029456130000.0,9847500220000.0,3818044090000.0,,5063801150000.0,,9847500220000.0,14911301370000.0
1.2. Thăng dư vốn cổ phần,I. BIÊN ĐÔNG VỐN CHỦ SỐ HỮU > 1.2. Thăng dư vốn cổ phần,1.2. Thăng dư vốn cổ phần,,29.470.756.034,817.169.133.373,817.241.683.373,(29.543.306.034),2.482.124.439.271,(73.100.000),817.169.133.373,3.299.220.472.644,,29470756034.0,817169133373.0,817241683373.0,-29543306034.0,2482124439271.0,-73100000.0,817169133373.0,3299220472644.0
1.3. Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn,I. BIÊN ĐÔNG VỐN CHỦ SỐ HỮU > 1.3. Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn,1.3. Quyền chọn chuyển đổi trái phiếu – Cấu phần vốn,,113.779.095.785,-,-,(113.779.095.785),-,-,-,-,,113779095785.0,,,-113779095785.0,,,,
1.4. Cổ phiếu quỹ,I. BIÊN ĐÔNG VỐN CHỦ SỐ HỮU > 1.4. Cổ phiếu quỹ,1.4. Cổ phiếu quỹ,,(34.661.962.785),(21.983.912.738),(1.149.759.050),13.827.809.097,(1.367.229.400),4.236.135.729,(21.983.912.738),(19.115.006.409),,-34661962785.0,-21983912738.0,-1149759050.0,13827809097.0,-1367229400.0,4236135729.0,-21983912738.0,-19115006409.0
2. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐÔNG VỐN CHỦ SỐ HỮU > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,,519.187.344.649,58.252.419.507,58.252.419.507,(519.187.344.649),-,-,58.252.419.507,58.252.419.507,,519187344649.0,58252419507.0,58252419507.0,-519187344649.0,,,58252419507.0,58252419507.0
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,I. BIÊN ĐÔNG VỐN CHỦ SỐ HỮU > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,434.679.749.965,492.932.169.472,58.252.419.507,-,-,(492.932.169.472),492.932.169.472,-,,434679749965.0,492932169472.0,58252419507.0,,,-492932169472.0,492932169472.0,
4. Chênh lệch đánh giá lại tài sản theo giả trị hợp lý,I. BIÊN ĐÔNG VỐN CHỦ SỐ HỮU > 4. Chênh lệch đánh giá lại tài sản theo giả trị hợp lý,4. Chênh lệch đánh giá lại tài sản theo giả trị hợp lý,,(3.793.033.106),(3.793.033.106),-,-,4.320.734.436,(6.814.087.170),(3.793.033.106),(6.286.385.840),,-3793033106.0,-3793033106.0,,,4320734436.0,-6814087170.0,-3793033106.0,-6286385840.0
