row_label_raw,row_label_full,col_0,Tổng cộng,Số dư đã dự phòng,Không quá hạn và không bị suy giảm,Quá hạn nhưng không bị suy giảm,Quá hạn nhưng không bị suy giảm_1,Quá hạn nhưng không bị suy giảm_2,Quá hạn nhưng không bị suy giảm_3,numeric__Tổng cộng,numeric__Số dư đã dự phòng,numeric__Không quá hạn và không bị suy giảm,numeric__Quá hạn nhưng không bị suy giảm,numeric__Quá hạn nhưng không bị suy giảm_1,numeric__Quá hạn nhưng không bị suy giảm_2,numeric__Quá hạn nhưng không bị suy giảm_3
,,,Tổng cộng,Số dư đã dự phòng,Không quá hạn và không bị suy giảm,< 90 ngày,91-180 ngày,181-210 ngày,>210 ngày,,,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,23.697.887.241.454,30.100.170.311,23.667.744.128.240,10.329.042,4.939.540,488.597,27.185.724,23697887241454.0,30100170311.0,23667744128240.0,10329042.0,4939540.0,488597.0,27185724.0
Số cuối năm,Số cuối năm,Số cuối năm,11.057.163.090.177,4.997.415.362,11.052.148.323.953,7.880.271,2.519.603,1.288.736,5.662.252,11057163090177.0,4997415362.0,11052148323953.0,7880271.0,2519603.0,1288736.0,5662252.0
