row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lãi bán chứng khoán năm nay VND,Lãi bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lãi bán chứng khoán năm nay VND,numeric__Lãi bán chứng khoán năm trước VND
1,1,1,LÃI BÁN,,,,,,,,,,,
1,1 > 1,1,Cổ phiếu và chứng khoán niêm yết(bao gồm cổ phiếu phòng ngừa rủi ro cho chứng quyền),213.316.824,7.064.825.555.706,6.910.062.304.385,154.763.251.321,711.361.680.028,,213316824.0,7064825555706.0,6910062304385.0,154763251321.0,711361680028.0
2,1 > 2,2,Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,116.722.141,1.533.905.352.523,1.533.500.000.000,405.352.523,84.026.900.435,,116722141.0,1533905352523.0,1533500000000.0,405352523.0,84026900435.0
3,1 > 3,3,Trái phiếu niêm yết,164.918.483,17.286.991.908.591,17.277.457.086.796,9.534.821.795,6.860.319.749,,164918483.0,17286991908591.0,17277457086796.0,9534821795.0,6860319749.0
4,1 > 4,4,Trái phiếu và chứng khoán chưa niêm yết,67.048.486,118.993.314.641.131,118.661.918.000.992,331.396.640.139,284.973.211.034,,67048486.0,118993314641131.0,118661918000992.0,331396640139.0,284973211034.0
5,1 > 5,5,Lãi vị thể của hợp đồng CKPS,-,-,-,180.882.827.000,102.569.866.000,,,,,180882827000.0,102569866000.0
6,1 > 6,6,Chứng quyền do Công ty phát hành,414.084.100,413.167.948.277,131.826.304.800,281.341.643.477,138.360.965.496,,414084100.0,413167948277.0,131826304800.0,281341643477.0,138360965496.0
,,,Tổng cộng,976.090.034,145.292.205.406.228,144.514.763.696.973,958.324.536.255,1.328.152.942.742,,976090034.0,145292205406228.0,144514763696973.0,958324536255.0,1328152942742.0
