row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 01 tháng 01 năm 2022,Nguyên giá > Ngày 01 tháng 01 năm 2022,Ngày 01 tháng 01 năm 2022,267.785.052.331,24.346.783.800,2.183.531.573,294.315.367.704,267785052331.0,24346783800.0,2183531573.0,294315367704.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,88.213.739.921,5.367.222.182,1.284.747.480,94.865.709.583,88213739921.0,5367222182.0,1284747480.0,94865709583.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(26.713.103.303),-,-,(26.713.103.303),-26713103303.0,,,-26713103303.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(26.676.431.812),-,-,(26.676.431.812),-26676431812.0,,,-26676431812.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(36.671.491),-,-,(36.671.491),-36671491.0,,,-36671491.0
Ngày 31 tháng 12 năm 2022,Nguyên giá > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,329.285.688.949,29.714.005.982,3.468.279.053,362.467.973.984,329285688949.0,29714005982.0,3468279053.0,362467973984.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Ngày 01 tháng 01 năm 2022,Giá trị hao mòn lũy kế > Ngày 01 tháng 01 năm 2022,Ngày 01 tháng 01 năm 2022,146.508.995.620,11.507.330.299,1.495.102.258,159.511.428.177,146508995620.0,11507330299.0,1495102258.0,159511428177.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,45.925.949.268,2.653.625.499,638.649.005,49.218.223.772,45925949268.0,2653625499.0,638649005.0,49218223772.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,45.925.949.268,2.653.625.499,638.649.005,49.218.223.772,45925949268.0,2653625499.0,638649005.0,49218223772.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(26.701.473.093),-,-,(26.701.473.093),-26701473093.0,,,-26701473093.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(26.664.801.602),-,-,(26.664.801.602),-26664801602.0,,,-26664801602.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(36.671.491),-,-,(36.671.491),-36671491.0,,,-36671491.0
Ngày 31 tháng 12 năm 2022,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,165.733.471.795,14.160.955.798,2.133.751.263,182.028.178.856,165733471795.0,14160955798.0,2133751263.0,182028178856.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 01 tháng 01 năm 2022,Giá trị còn lại > Ngày 01 tháng 01 năm 2022,Ngày 01 tháng 01 năm 2022,121.276.056.711,12.839.453.501,688.429.315,134.803.939.527,121276056711.0,12839453501.0,688429315.0,134803939527.0
Ngày 31 tháng 12 năm 2022,Giá trị còn lại > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,163.552.217.154,15.553.050.184,1.334.527.790,180.439.795.128,163552217154.0,15553050184.0,1334527790.0,180439795128.0
