row_label_raw,row_label_full,col_0,1/1/2023Carrying amount & amount within repayment capacity (**) VND'000,Movement during the year > Additions VND'000,Movement during the year > Payments VND'000,31/12/2023Carrying amount & amount within repayment capacity (**) VND'000,numeric__1/1/2023Carrying amount & amount within repayment capacity (**) VND'000,numeric__Movement during the year > Additions VND'000,numeric__Movement during the year > Payments VND'000,numeric__31/12/2023Carrying amount & amount within repayment capacity (**) VND'000
Short-term borrowings (*),Short-term borrowings (*),Short-term borrowings (*),"21,200,000","5,000,000",-,"26,200,000",,,,
Current portion of long-term bonds (Note 11(b)),Current portion of long-term bonds (Note 11(b)),Current portion of long-term bonds (Note 11(b)),"1,500,000,000","1,500,000,000","(1,500,000,000)","1,500,000,000",,,,
,,,"1,521,200,000","1,505,000,000","(1,500,000,000)","1,526,200,000",,,,
