row_label_raw,row_label_full,col_0,Code,Note,31/12/2023 VND'000,1/1/2023 VND'000,numeric__Code,numeric__Note,numeric__31/12/2023 VND'000,numeric__1/1/2023 VND'000
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets (100 = 110 + 130 + 150),ASSETS > Current assets (100 = 110 + 130 + 150),Current assets (100 = 110 + 130 + 150),100,,"80,772,867","1,076,331,106",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,5,"1,709,356","1,152,355",110.0,5.0,,
Cash,ASSETS > Cash,Cash,111,,"1,709,356","1,152,355",111.0,,,
Accounts receivable - short-term,ASSETS > Accounts receivable - short-term,Accounts receivable - short-term,130,,"74,306,617","1,071,869,168",130.0,,,
Prepayment to suppliers,ASSETS > Prepayment to suppliers,Prepayment to suppliers,132,,"10,951,675","398,785",132.0,,,398.785
Other receivables,ASSETS > Other receivables,Other receivables,136,6,"63,354,942","1,071,470,383",136.0,6.0,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"4,756,894","3,309,583",150.0,,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"4,756,894","3,309,583",152.0,,,
Long term assets (200 = 210 + 220 + 240 + 250),ASSETS > Long term assets (200 = 210 + 220 + 240 + 250),Long term assets (200 = 210 + 220 + 240 + 250),200,,"15,195,104,988","14,188,893,090",200.0,,,
Accounts receivable - long-term,ASSETS > Accounts receivable - long-term,Accounts receivable - long-term,210,,"3,000,000,000","2,000,000,000",210.0,,,
Other long-term receivables,ASSETS > Other long-term receivables,Other long-term receivables,216,6,"3,000,000,000","2,000,000,000",216.0,6.0,,
Fixed assets,ASSETS > Fixed assets,Fixed assets,220,,-,-,220.0,,,
Intangible fixed assets,ASSETS > Intangible fixed assets,Intangible fixed assets,227,,-,-,227.0,,,
Cost,ASSETS > Cost,Cost,228,,"137,950","137,950",228.0,,137.95,137.95
Accumulated amortisation,ASSETS > Accumulated amortisation,Accumulated amortisation,229,,"(137,950)","(137,950)",229.0,,-137.95,-137.95
Long-term work in progress,ASSETS > Long-term work in progress,Long-term work in progress,240,,"38,628,599","32,416,701",240.0,,,
Construction in progress,ASSETS > Construction in progress,Construction in progress,242,7,"38,628,599","32,416,701",242.0,7.0,,
Long-term financial investments,ASSETS > Long-term financial investments,Long-term financial investments,250,,"12,156,476,389","12,156,476,389",250.0,,,
Investment in a subsidiary,ASSETS > Investment in a subsidiary,Investment in a subsidiary,251,8,"12,156,476,389","12,156,476,389",251.0,8.0,,
TOTAL ASSETS (270 = 100 + 200),ASSETS > TOTAL ASSETS (270 = 100 + 200),TOTAL ASSETS (270 = 100 + 200),270,,"15,275,877,855","15,265,224,196",270.0,,,
