row_label_raw,row_label_full,Các bên liên quan,Bản chất của giao dịch,2023Nghìn VND,2022Nghìn VND,numeric__Bản chất của giao dịch,numeric__2023Nghìn VND,numeric__2022Nghìn VND
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,
Tập đoàn Masan,Công ty Cổ phần > Tập đoàn Masan,Tập đoàn Masan,Mua dịch vụ,24.553,-,,24553.0,
Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,Các công ty liên kết của công ty mẹ cấp cao nhất,,,
TCB và các công ty con,Các công ty liên kết của công ty mẹ cấp cao nhất > TCB và các công ty con,TCB và các công ty con,Lãi trái phiếu (i),10.858.017,14.419.467,,10858017.0,14419467.0
Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,,,
Công ty Cổ phần Dịch vụ,Công ty Cổ phần Dịch vụ,Công ty Cổ phần Dịch vụ,,,,,,
Thương mại Tổng hợp,Thương mại Tổng hợp,Thương mại Tổng hợp,,,,,,
Wincommerce,Thương mại Tổng hợp > Wincommerce,Wincommerce,Lãi trái phiếu (i),28.748.432,-,,28748432.0,
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,
Tầm nhìn Masan,Công ty Cổ phần > Tầm nhìn Masan,Tầm nhìn Masan,Lãi trái phiếu (i),6.163.496,-,,6163496.0,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,
Công ty TNHH Khai thác,Các công ty con > Công ty TNHH Khai thác,Công ty TNHH Khai thác,Phân chia lợi nhuận từ HĐHTKD,206.616.503,174.585.826,,206616503.0,174585826.0
Chế biển Khoáng sản,Các công ty con > Chế biển Khoáng sản,Chế biển Khoáng sản,Trả hộ NPM,3.314.590,4.377.545,,3314590.0,4377545.0
Núi Pháo,Các công ty con > Núi Pháo,Núi Pháo,Trả hộ MHT,4.355.563,3.907.531,,4355563.0,3907531.0
Công ty TNHH,Các công ty con > Công ty TNHH,Công ty TNHH,Phân chia lợi nhuận từ HĐHTKD,121.771.767,106.905.162,,121771767.0,106905162.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Nhận tiền vay,5.000.000,-,,5000000.0,
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Chi phí lãi vay,1.967.781,678.400,,1967781.0,678400.0
Vonfram Masan,Các công ty con > Vonfram Masan,Vonfram Masan,Trả hộ MTC,3.500.000,-,,3500000.0,
Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,Cán bộ quản lý chủ chốt,,,
,,,"Lương, thường và các phúc lợi khác (ii)",-,-,,,
