row_label_raw,row_label_full,col_0,2023VND'000,2022VND'000,numeric__2023VND'000,numeric__2022VND'000
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"422,479","889,435",422.479,889.435
Tax at the Company's tax rate,Tax at the Company's tax rate,Tax at the Company's tax rate,"84,496","177,887",84.496,177.887
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"1,190","21,276",1.19,21.276
Over provision in prior year,Over provision in prior year,Over provision in prior year,"(22,228)","(20,904)",-22.228,-20.904
,,,"63,458","178,259",63.458,178.259
