row_label_raw,row_label_full,col_0,31/12/2023 and 1/1/2023,31/12/2023 and 1/1/2023_1,numeric__31/12/2023 and 1/1/2023,numeric__31/12/2023 and 1/1/2023_1
,,,Number of shares,VND'000,,
Authorised share capital,Authorised share capital,Authorised share capital,"1,099,155,420","10,991,554,200",,
Issued share capital,Issued share capital,Issued share capital,,,,
Ordinary shares,Ordinary shares,Ordinary shares,"1,099,155,420","10,991,554,200",,
Shares in circulation,Shares in circulation,Shares in circulation,,,,
Ordinary shares,Ordinary shares,Ordinary shares,"1,099,155,420","10,991,554,200",,
Share premium,Share premium,Share premium,-,"1,098,259,892",,
