row_label_raw,row_label_full,col_0,31/12/2023VND’000,1/1/2023VND’000,numeric__31/12/2023VND’000,numeric__1/1/2023VND’000
Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,,
Distribution of profit receivable from BCC (a),Distribution of profit receivable from BCC (a),Distribution of profit receivable from BCC (a),"51,117,531","66,104,124",,
Other receivable from subsidiaries,Other receivable from subsidiaries,Other receivable from subsidiaries,"12,182,411","5,311,259",,
Receivables under BCC with Masan Tungsten Limited Liability Company (“MTC”) – a subsidiary (b),Receivables under BCC with Masan Tungsten Limited Liability Company (“MTC”) – a subsidiary (b),Receivables under BCC with Masan Tungsten Limited Liability Company (“MTC”) – a subsidiary (b),-,"1,000,000,000",,
Other short-term receivables,Receivables under BCC with Masan Tungsten Limited Liability Company (“MTC”) – a subsidiary (b) > Other short-term receivables,Other short-term receivables,"55,000","55,000",55.0,55.0
,,,"63,354,942","1,071,470,383",,
Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,,
Receivables under BCC with Masan Tungsten Limited Liability Company (“MTC”) – a subsidiary (b),Receivables under BCC with Masan Tungsten Limited Liability Company (“MTC”) – a subsidiary (b),Receivables under BCC with Masan Tungsten Limited Liability Company (“MTC”) – a subsidiary (b),"1,000,000,000",-,,
Receivables under BCC with Nui Phao Mining Company Ltd (“NPM”) – a subsidiary (c),Receivables under BCC with Nui Phao Mining Company Ltd (“NPM”) – a subsidiary (c),Receivables under BCC with Nui Phao Mining Company Ltd (“NPM”) – a subsidiary (c),"2,000,000,000","2,000,000,000",,
,,,"3,000,000,000","2,000,000,000",,
