row_label_raw,row_label_full,Related parties,Nature of transactions,2023 VND'000,2022 VND'000,numeric__Nature of transactions,numeric__2023 VND'000,numeric__2022 VND'000
Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,Ultimate parent company,,,
Masan Group Joint Stock Company,Ultimate parent company > Masan Group Joint Stock Company,Masan Group Joint Stock Company,Purchase of services,"24,553",-,,24.553,
Ultimate parent company's associates,Ultimate parent company's associates,Ultimate parent company's associates,Ultimate parent company's associates,Ultimate parent company's associates,Ultimate parent company's associates,,,
TCB and its subsidiaries,Ultimate parent company's associates > TCB and its subsidiaries,TCB and its subsidiaries,Bond interest (i),"10,858,017",14.419.467,,,14419467.0
Ultimate parent company's subsidiary,Ultimate parent company's subsidiary,Ultimate parent company's subsidiary,Ultimate parent company's subsidiary,Ultimate parent company's subsidiary,Ultimate parent company's subsidiary,,,
Wincommerce General Commercial Services Joint Stock Company,Wincommerce General Commercial Services Joint Stock Company,Wincommerce General Commercial Services Joint Stock Company,Bond interest (i),"28,748,432",-,,,
The parent company,The parent company,The parent company,The parent company,The parent company,The parent company,,,
Masan Horizon Corporation,Masan Horizon Corporation,Masan Horizon Corporation,Bond interest (i),"6,163,496",-,,,
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,,,
"Nui Phao Mining Co., Ltd","Subsidiaries > Nui Phao Mining Co., Ltd","Nui Phao Mining Co., Ltd",Distribution of profit from BCC,"206,616,503",174.585.826,,,174585826.0
"Nui Phao Mining Co., Ltd","Subsidiaries > Nui Phao Mining Co., Ltd","Nui Phao Mining Co., Ltd",Payment on behalf of NPM,"3,314,590",4.377.545,,,4377545.0
"Nui Phao Mining Co., Ltd","Subsidiaries > Nui Phao Mining Co., Ltd","Nui Phao Mining Co., Ltd",Payment on behalf of MHT,"4,355,563",3.907.531,,,3907531.0
Masan Tungsten LLC,Subsidiaries > Masan Tungsten LLC,Masan Tungsten LLC,Distribution of profit from BCC,"121,771,767",106.905.162,,,106905162.0
Masan Tungsten LLC,Masan Tungsten LLC,Masan Tungsten LLC,Receipt of borrowings,"5,000,000",-,,,
Masan Tungsten LLC,Masan Tungsten LLC > Masan Tungsten LLC,Masan Tungsten LLC,Interest expense,"1,967,781",678.400,,,678400.0
Masan Tungsten LLC,Masan Tungsten LLC,Masan Tungsten LLC,Payment on behalf of MTC,"3,500,000",-,,,
Key management personnel,Key management personnel,Key management personnel,Key management personnel,Key management personnel,Key management personnel,,,
,,,"Salary, bonus and other benefits (ii)",-,-,,,
