row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Vay ngắn hạn ngân hàng (TM số 23.1),Ngắn hạn > Vay ngắn hạn ngân hàng (TM số 23.1),Vay ngắn hạn ngân hàng (TM số 23.1),5.039.319.600,3.426.076.776,5039319600.0,3426076776.0
Vay dài hạn trái phiếu đến hạn trả (TM số 23.2),Ngắn hạn > Vay dài hạn trái phiếu đến hạn trả (TM số 23.2),Vay dài hạn trái phiếu đến hạn trả (TM số 23.2),1.099.000.000,1.918.506.150,1099000000.0,1918506150.0
Vay dài hạn ngân hàng đến hạn trả (TM số 23.3),Ngắn hạn > Vay dài hạn ngân hàng đến hạn trả (TM số 23.3),Vay dài hạn ngân hàng đến hạn trả (TM số 23.3),333.418.316,344.191.553,333418316.0,344191553.0
Vay dài hạn từ công ty và cá nhân đến hạn trả (TM số 23.4),Ngắn hạn > Vay dài hạn từ công ty và cá nhân đến hạn trả (TM số 23.4),Vay dài hạn từ công ty và cá nhân đến hạn trả (TM số 23.4),-,43.543.775,,43543775.0
Vay ngắn hạn từ công ty,Ngắn hạn > Vay ngắn hạn từ công ty,Vay ngắn hạn từ công ty,-,16.000.000,,16000000.0
,,,6.471.737.916,5.748.318.254,6471737916.0,5748318254.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Vay dài hạn trái phiếu (TM số 23.2),Dài hạn > Vay dài hạn trái phiếu (TM số 23.2),Vay dài hạn trái phiếu (TM số 23.2),987.332.222,1.171.204.218,987332222.0,1171204218.0
Vay dài hạn ngân hàng (TM số 23.3),Dài hạn > Vay dài hạn ngân hàng (TM số 23.3),Vay dài hạn ngân hàng (TM số 23.3),297.576.892,15.462.281,297576892.0,15462281.0
Vay dài hạn từ công ty và cá nhân (TM số 23.4),Dài hạn > Vay dài hạn từ công ty và cá nhân (TM số 23.4),Vay dài hạn từ công ty và cá nhân (TM số 23.4),144.891.217,30.485.439,144891217.0,30485439.0
,,,1.429.800.331,1.217.151.938,1429800331.0,1217151938.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,7.901.538.247,6.965.470.192,7901538247.0,6965470192.0
