row_label_raw,row_label_full,ty Cổ phần Hoàng Anh Gia Lai,ty Cổ phần Hoàng Anh Gia Lai_1,ty Cổ phần Hoàng Anh Gia Lai_2,ty Cổ phần Hoàng Anh Gia Lai_3,ty Cổ phần Hoàng Anh Gia Lai_4,ty Cổ phần Hoàng Anh Gia Lai_5,B09-DN/HN,numeric__ty Cổ phần Hoàng Anh Gia Lai_1,numeric__ty Cổ phần Hoàng Anh Gia Lai_2,numeric__ty Cổ phần Hoàng Anh Gia Lai_3,numeric__ty Cổ phần Hoàng Anh Gia Lai_4,numeric__ty Cổ phần Hoàng Anh Gia Lai_5,numeric__B09-DN/HN
,,,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải,truyền dẫn",Thiết bịvăn phòng,Vườn cây ăn quả,Ngàn VNDTổng cộng,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.744.611.007,215.679.343,529.786.457,4.279.003,4.715.269.389,8.209.625.199,2744611007.0,215679343.0,529786457.0,4279003.0,4715269389.0,8209625199.0
Mua công ty con,Nguyên giá > Mua công ty con,Mua công ty con,106.752.444,7.048.288,13.425.279,-,1.253.018.198,1.380.244.209,106752444.0,7048288.0,13425279.0,,1253018198.0,1380244209.0
Đầu tư xây dựng cơ bảnhoản thành,Nguyên giá > Đầu tư xây dựng cơ bảnhoản thành,Đầu tư xây dựng cơ bảnhoản thành,361.566.317,517.701,161.431.259,-,440.208.390,963.723.667,361566317.0,517701.0,161431259.0,,440208390.0,963723667.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,1.000.000,41.370.694,16.892.653,167.028,-,59.430.375,1000000.0,41370694.0,16892653.0,167028.0,,59430375.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,51.724.998,(5.721.823),(755.424),-,(107.542.632),(62.294.881),51724998.0,-5721823.0,-755424.0,,-107542632.0,-62294881.0
Xóa số và thanh lý tài sản,Nguyên giá > Xóa số và thanh lý tài sản,Xóa số và thanh lý tài sản,(9.849.172),-,(10.404.834),-,(205.991.464),(226.245.470),-9849172.0,,-10404834.0,,-205991464.0,-226245470.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,39.306.858,834.894,12.566.894,-,38.719.256,91.427.902,39306858.0,834894.0,12566894.0,,38719256.0,91427902.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.295.112.452,259.729.097,722.942.284,4.446.031,6.133.681.137,10.415.911.001,3295112452.0,259729097.0,722942284.0,4446031.0,6133681137.0,10415911001.0
