row_label_raw,row_label_full,Tên đối tượng > Bà Hồ Thị Kim Chi (TM số 33) > Công ty TNHH Thương mại Dịch vụ M.I.S.CBình Dương > Công ty Cổ phần Tổng hợp PC,Số tiền(Ngàn VND) > 72.012.000 > 60.543.783 > 12.335.434,Thời hạn thanh toánvà ngày đáo hạn > Ngày 24 tháng 4 năm 2029 > Ngày 2 tháng 4 năm 2029 > Ngày 4 tháng 6 năm 2029,"Lãi suất(%/năm) > 10,00 > 5,00 > 7,95",Tài sản thể chấp > Tín chấp,numeric__Số tiền(Ngàn VND) > 72.012.000 > 60.543.783 > 12.335.434,numeric__Thời hạn thanh toánvà ngày đáo hạn > Ngày 24 tháng 4 năm 2029 > Ngày 2 tháng 4 năm 2029 > Ngày 4 tháng 6 năm 2029,"numeric__Lãi suất(%/năm) > 10,00 > 5,00 > 7,95",numeric__Tài sản thể chấp > Tín chấp
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,144.891.217,,,,144891217.0,,,
Trong đó:Vay dài hạn,Trong đó:Vay dài hạn,Trong đó:Vay dài hạn,144.891.217,,,,144891217.0,,,
