row_label_raw,row_label_full,Tên ngân hàng,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
"Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào - Việt"") - Chi nhánh Attapeu","Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào - Việt"") - Chi nhánh Attapeu","Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào - Việt"") - Chi nhánh Attapeu",317.395.600,311.819.820,317395600.0,311819820.0
Ngân hàng TMCP Phương Đông - Chi nhánh Đắk Lắk,Ngân hàng TMCP Phương Đông - Chi nhánh Đắk Lắk,Ngân hàng TMCP Phương Đông - Chi nhánh Đắk Lắk,217.894.492,-,217894492.0,
Ngân hàng TNHH MTV Sài Gòn Thương Tín Lào - Chi nhánh Champasak,Ngân hàng TNHH MTV Sài Gòn Thương Tín Lào - Chi nhánh Champasak,Ngân hàng TNHH MTV Sài Gòn Thương Tín Lào - Chi nhánh Champasak,95.705.116,46.388.389,95705116.0,46388389.0
"Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank"") - Chi nhánh Gia Lai","Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank"") - Chi nhánh Gia Lai","Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank"") - Chi nhánh Gia Lai",-,1.445.625,,1445625.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,630.995.208,359.653.834,630995208.0,359653834.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn ngân hàng đến hạn trả,Trong đó: > Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,333.418.316,344.191.553,333418316.0,344191553.0
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,297.576.892,15.462.281,297576892.0,15462281.0
