row_label_raw,row_label_full,col_0,Vay ngắn hạn,Vay dài hạn,Ngân VND Tổng cộng,numeric__Vay ngắn hạn,numeric__Vay dài hạn,numeric__Ngân VND Tổng cộng
Số đầu năm,Số đầu năm,Số đầu năm,5.748.318.254,1.217.151.938,6.965.470.192,5748318254.0,1217151938.0,6965470192.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,10.699.589.129,1.295.649.093,11.995.238.222,10699589129.0,1295649093.0,11995238222.0
Mua công ty con,Mua công ty con,Mua công ty con,1.447.697,78.012.000,79.459.697,1447697.0,78012000.0,79459697.0
Căn trừ công nợ,Căn trừ công nợ,Căn trừ công nợ,(6.447.697),(6.000.000),(12.447.697),-6447697.0,-6000000.0,-12447697.0
Phát hành cổ phiếu đế hoàn đổi nợ (*),Phát hành cổ phiếu đế hoàn đổi nợ (*),Phát hành cổ phiếu đế hoàn đổi nợ (*),(1.642.000.000),(358.000.000),(2.000.000.000),-1642000000.0,-358000000.0,-2000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,9.493.849,(6.871.999),2.621.850,9493849.0,-6871999.0,2621850.0
Phân loại lại,Phân loại lại,Phân loại lại,(37.167.758),37.167.758,-,-37167758.0,37167758.0,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,834.635.069,(834.635.069),-,834635069.0,-834635069.0,
Chênh lệch tỷ giả,Chênh lệch tỷ giả,Chênh lệch tỷ giả,16.187.459,8.476.610,24.664.069,16187459.0,8476610.0,24664069.0
Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,(9.152.318.086),(1.150.000),(9.153.468.086),-9152318086.0,-1150000.0,-9153468086.0
Số cuối năm,Số cuối năm,Số cuối năm,6.471.737.916,1.429.800.331,7.901.538.247,6471737916.0,1429800331.0,7901538247.0
