row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho vay ngắn hạn bên liên quan (TM số 33) (i),Ngắn hạn > Cho vay ngắn hạn bên liên quan (TM số 33) (i),Cho vay ngắn hạn bên liên quan (TM số 33) (i),1.675.988.132,2.361.062.055,1675988132.0,2361062055.0
Cho vay ngắn hạn các bên thứ ba (ii),Ngắn hạn > Cho vay ngắn hạn các bên thứ ba (ii),Cho vay ngắn hạn các bên thứ ba (ii),1.144.833.784,323.160.677,1144833784.0,323160677.0
,,,2.820.821.916,2.684.222.732,2820821916.0,2684222732.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Cho vay dài hạn các bên thứ ba,Dài hạn > Cho vay dài hạn các bên thứ ba,Cho vay dài hạn các bên thứ ba,-,46.813.199,,46813199.0
,,,-,46.813.199,,46813199.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,2.820.821.916,2.731.035.931,2820821916.0,2731035931.0
Dự phòng phải thu về cho vay khó đòi,Dài hạn > Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,(21.288.525),(23.959.811),-21288525.0,-23959811.0
GIÁ TRỊ THUÀN,Dài hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,2.799.533.391,2.707.076.120,2799533391.0,2707076120.0
