row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,(Lỗ lũy kế) lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__(Lỗ lũy kế) lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,9.274.679.470,-,(686.640),(1.525.752.918),279.895.303,(1.669.170.708),6.358.964.507,9274679470.0,,-686640.0,-1525752918.0,279895303.0,-1669170708.0,6358964507.0
Tăng vốn trong năm,Năm trước > Tăng vốn trong năm,Tăng vốn trong năm,1.300.000.000,-,-,-,-,-,1.300.000.000,1300000000.0,,,,,,1300000000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.013.433.083,1.013.433.083,,,,,,1013433083.0,1013433083.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,118.666.428,-,-,118.666.428,,,,118666428.0,,,118666428.0
Giao dịch với cổ đông không kiểm soát,Năm trước > Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,(43.745.749),(43.745.749),,,,,,-43745749.0,-43745749.0
Hoàn nhập quỹ đầu tư và phát triển,Năm trước > Hoàn nhập quỹ đầu tư và phát triển,Hoàn nhập quỹ đầu tư và phát triển,-,-,-,-,(279.895.303),279.895.303,-,,,,,-279895303.0,279895303.0,
"Chi thủ lao HĐQT, BKS và Thư ký","Năm trước > Chi thủ lao HĐQT, BKS và Thư ký","Chi thủ lao HĐQT, BKS và Thư ký",-,-,-,-,-,(3.072.000),(3.072.000),,,,,,-3072000.0,-3072000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,10.574.679.470,-,(686.640),(1.407.086.490),-,(422.660.071),8.744.246.269,10574679470.0,,-686640.0,-1407086490.0,,-422660071.0,8744246269.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,10.574.679.470,-,(686.640),(1.407.086.490),-,(422.660.071),8.744.246.269,10574679470.0,,-686640.0,-1407086490.0,,-422660071.0,8744246269.0
Tăng vốn trong năm (*),Năm nay > Tăng vốn trong năm (*),Tăng vốn trong năm (*),2.100.000.000,408.450.000,-,-,-,-,2.508.450.000,2100000000.0,408450000.0,,,,,2508450000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.122.808.772,2.122.808.772,,,,,,2122808772.0,2122808772.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,143.494.164,-,-,143.494.164,,,,143494164.0,,,143494164.0
Giao dịch với cổ đông không kiểm soát,Năm nay > Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,(304.424.043),(304.424.043),,,,,,-304424043.0,-304424043.0
"Chi thủ lao HĐQT, BKS và Thư ký","Năm nay > Chi thủ lao HĐQT, BKS và Thư ký","Chi thủ lao HĐQT, BKS và Thư ký",-,-,-,-,-,(3.072.000),(3.072.000),,,,,,-3072000.0,-3072000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,12.674.679.470,408.450.000,(686.640),(1.263.592.326),-,1.392.652.658,13.211.503.162,12674679470.0,408450000.0,-686640.0,-1263592326.0,,1392652658.0,13211503162.0
