row_label_raw,row_label_full,Công ty TNHH Dịch vụNông nghiệp Tây Nguyên,Ứng trước mua hàng hóa,127.491.235,969.470.197,numeric__Ứng trước mua hàng hóa,numeric__127.491.235,numeric__969.470.197
Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),,,
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,"7,5",1.183.527.287,1.183.527.287,7.5,1183527287.0,1183527287.0
Công ty Cổ phần Chế biểnThức ăn Gia sức Đông Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Chế biểnThức ăn Gia sức Đông Gia Lai,Công ty Cổ phần Chế biểnThức ăn Gia sức Đông Gia Lai,"7,5 - 10",490.713.549,1.177.520.568,,490713549.0,1177520568.0
Công ty TNHH Nông nghiệpThành Trung,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH Nông nghiệpThành Trung,Công ty TNHH Nông nghiệpThành Trung,-,1.733.096,-,,1733096.0,
Các bên liên quan khác,Phải thu về cho vay ngắn hạn (TM số 8) > Các bên liên quan khác,Các bên liên quan khác,-,14.200,14.200,,14200.0,14200.0
,,,,1.675.988.132,2.361.062.055,,1675988132.0,2361062055.0
