row_label_raw,row_label_full,"Tổ chức thu xếp phát hành > BIDV và Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam (""BSC"") (*)",Số cuối năm > 1.099.000.000,Ngàn VND Số đầu năm > 3.105.000.000,numeric__Số cuối năm > 1.099.000.000,numeric__Ngàn VND Số đầu năm > 3.105.000.000
"Công ty Cổ phần chứng khoán OCBS (""OCBS"")","Công ty Cổ phần chứng khoán OCBS (""OCBS"")","Công ty Cổ phần chứng khoán OCBS (""OCBS"")",1.000.000.000,-,1000000000.0,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(12.667.778),(15.289.632),-12667778.0,-15289632.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.086.332.222,3.089.710.368,2086332222.0,3089710368.0
Trong đó:,Trong đó:,Trong đó:,,,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,987.332.222,1.171.204.218,987332222.0,1171204218.0
Trái phiếu dài hạn đến hạn trả trong vòng 1 năm,Trong đó: > Trái phiếu dài hạn đến hạn trả trong vòng 1 năm,Trái phiếu dài hạn đến hạn trả trong vòng 1 năm,1.099.000.000,1.918.506.150,1099000000.0,1918506150.0
