row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.344.341.999,1.417.181.096,903.344.935,1.118.181.972,5.783.050.002,2344341999.0,1417181096.0,903344935.0,1118181972.0,5783050002.0
Chi phí hình thành tải sản cố định,Doanh thu > Chi phí hình thành tải sản cố định,Chi phí hình thành tải sản cố định,135.775.261,428.155.574,281.299.130,-,845.229.965,135775261.0,428155574.0,281299130.0,,845229965.0
Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,13.823.574.707,6.195.798.116,2.111.734.191,-,22.131.107.014,13823574707.0,6195798116.0,2111734191.0,,22131107014.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,149.708.825,,,,,149708825.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,22.280.815.839,,,,,22280815839.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,3.497.817.271,2.085.880.362,1.004.027.063,844.549.546,7.432.274.242,3497817271.0,2085880362.0,1004027063.0,844549546.0,7432274242.0
Chi phí hình thành tải sản cố định,Doanh thu > Chi phí hình thành tải sản cố định,Chi phí hình thành tải sản cố định,1.226.876.261,387.360.815,1.799.702,-,1.616.036.778,1226876261.0,387360815.0,1799702.0,,1616036778.0
Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,11.407.001.791,8.749.838.675,5.539.113.626,-,25.695.954.092,11407001791.0,8749838675.0,5539113626.0,,25695954092.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,679.528.813,,,,,679528813.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,6.145.591,,,,,6145591.0
,,,,,,,26.381.628.496,,,,,26381628496.0
