row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
"Ngắn hạnĐặt cọc Hợp tác Kinh doanh (""HTKD"") (*)","Ngắn hạnĐặt cọc Hợp tác Kinh doanh (""HTKD"") (*)","Ngắn hạnĐặt cọc Hợp tác Kinh doanh (""HTKD"") (*)",820.000.000,1.520.000.000,820000000.0,1520000000.0
Trong đó:- Công ty TNHH Nông nghiệp Thành Trung- Công ty TNHH Nông nghiệp Phú Quý Gia Lai,Trong đó:- Công ty TNHH Nông nghiệp Thành Trung- Công ty TNHH Nông nghiệp Phú Quý Gia Lai,Trong đó:- Công ty TNHH Nông nghiệp Thành Trung- Công ty TNHH Nông nghiệp Phú Quý Gia Lai,820.000.000-,820.000.000700.000.000,,8.200000007e+17
Phải thu từ Hợp đồng HTKD (**),Phải thu từ Hợp đồng HTKD (**),Phải thu từ Hợp đồng HTKD (**),762.210.840,350.000.000,762210840.0,350000000.0
Trong đó:- Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Trong đó:- Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Trong đó:- Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,350.000.000,350.000.000,350000000.0,350000000.0
- Công ty TNHH MTV PTNN và Trống dấu tắm Bolaven,- Công ty TNHH MTV PTNN và Trống dấu tắm Bolaven,- Công ty TNHH MTV PTNN và Trống dấu tắm Bolaven,191.873.563,-,191873563.0,
- Công ty TNHH Phát triển Nông Lâm nghiệp Banlung,- Công ty TNHH Phát triển Nông Lâm nghiệp Banlung,- Công ty TNHH Phát triển Nông Lâm nghiệp Banlung,132.137.128,-,132137128.0,
- Công ty TNHH Phát triển Nông nghiệp Cà phê và Macadamia Paksong,- Công ty TNHH Phát triển Nông nghiệp Cà phê và Macadamia Paksong,- Công ty TNHH Phát triển Nông nghiệp Cà phê và Macadamia Paksong,88.200.149,-,88200149.0,
Cho mượn,Cho mượn,Cho mượn,642.535.922,454.008.253,642535922.0,454008253.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,260.629.919,137.514.178,260629919.0,137514178.0
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,25.668.364,25.179.051,25668364.0,25179051.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,11.667.062,17.686.375,11667062.0,17686375.0
,,,2.522.712.107,2.504.387.857,2522712107.0,2504387857.0
Dải hạnPhải thu Hợp đồng HTKD,Dải hạnPhải thu Hợp đồng HTKD,Dải hạnPhải thu Hợp đồng HTKD,-,1.227.571.267,,1227571267.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,-,6.703.400,,6703400.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,12.995.498,12.382.501,12995498.0,12382501.0
,,,12.995.498,1.246.657.168,12995498.0,1246657168.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.535.707.605,3.751.045.025,2535707605.0,3751045025.0
Trong đó:Phải thu khác các bên thứ ba,Trong đó:Phải thu khác các bên thứ ba,Trong đó:Phải thu khác các bên thứ ba,697.892.103,2.856.727.210,697892103.0,2856727210.0
Phải thu khác ngắn hạn các bên liên quan (TM số 33),Phải thu khác ngắn hạn các bên liên quan (TM số 33),Phải thu khác ngắn hạn các bên liên quan (TM số 33),1.837.815.502,894.317.815,1837815502.0,894317815.0
Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,(11.976.573),(12.832.013),-11976573.0,-12832013.0
GIÁ TRI THUẢN,GIÁ TRI THUẢN,GIÁ TRI THUẢN,2.523.731.032,3.738.213.012,2523731032.0,3738213012.0
