row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,7.484.526.405,5.894.531.814,7484526405.0,5894531814.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,5.764.828.583,4.245.538.896,5764828583.0,4245538896.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,1.480.475.933,552.366.307,1480475933.0,552366307.0
Doanh thu bán heo,Trong đó: > Doanh thu bán heo,Doanh thu bán heo,209.291.055,1.003.842.567,209291055.0,1003842567.0
Doanh thu từ cung cấp dịch vụ,Trong đó: > Doanh thu từ cung cấp dịch vụ,Doanh thu từ cung cấp dịch vụ,29.930.834,85.754.136,29930834.0,85754136.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,-,7.029.908,,7029908.0
Khoản giảm trừ,Trong đó: > Khoản giảm trừ,Khoản giảm trừ,(52.252.163),(111.481.812),-52252163.0,-111481812.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(52.252.163),(111.481.812),-52252163.0,-111481812.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,7.432.274.242,5.783.050.002,7432274242.0,5783050002.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,5.712.716.007,4.138.753.032,5712716007.0,4138753032.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,1.480.475.933,552.366.307,1480475933.0,552366307.0
Doanh thu bán heo,Trong đó: > Doanh thu bán heo,Doanh thu bán heo,209.151.468,1.003.842.567,209151468.0,1003842567.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,29.930.834,85.754.136,29930834.0,85754136.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,-,2.333.960,,2333960.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần với các bên thứ ba,Trong đó: > Doanh thu thuần với các bên thứ ba,Doanh thu thuần với các bên thứ ba,7.300.345.589,5.454.020.622,7300345589.0,5454020622.0
Doanh thu thuần với các bên liên quan(TM số 33),Trong đó: > Doanh thu thuần với các bên liên quan(TM số 33),Doanh thu thuần với các bên liên quan(TM số 33),131.928.653,329.029.380,131928653.0,329029380.0
