row_label_raw,row_label_full,Tên ngân hàng,Số tiền(Ngàn VND),Thời hạn thanh toánvà ngày đáo hạn,Lãi suất(%/năm),numeric__Số tiền(Ngàn VND),numeric__Thời hạn thanh toánvà ngày đáo hạn,numeric__Lãi suất(%/năm)
Ngân hàng TMCP Tiên Phong – Chi nhánh Hà Nội,Ngân hàng TMCP Tiên Phong – Chi nhánh Hà Nội,Ngân hàng TMCP Tiên Phong – Chi nhánh Hà Nội,Ngân hàng TMCP Tiên Phong – Chi nhánh Hà Nội,Ngân hàng TMCP Tiên Phong – Chi nhánh Hà Nội,Ngân hàng TMCP Tiên Phong – Chi nhánh Hà Nội,,,
Khoản vay 1,Ngân hàng TMCP Tiên Phong – Chi nhánh Hà Nội > Khoản vay 1,Khoản vay 1,461.250.000,Từ ngày 2 tháng 4năm 2026 đến ngày 3tháng 6 năm 2026,"8,30 - 9,30",461250000.0,,
Khoản vay 2,Ngân hàng TMCP Tiên Phong – Chi nhánh Hà Nội > Khoản vay 2,Khoản vay 2,202.240.000,Từ ngày 2 tháng 5năm 2026 đến ngày 14tháng 7 năm 2026,"8,45 - 9,55",202240000.0,,
TỔNG CỘNG,Ngân hàng TMCP Tiên Phong – Chi nhánh Hà Nội > TỔNG CỘNG,TỔNG CỘNG,663.490.000,,,663490000.0,,
