row_label_raw,row_label_full,col_0,Số đầu năm,Số tăng trong năm,Số giảm trong năm,Ngàn VND Số cuối năm,numeric__Số đầu năm,numeric__Số tăng trong năm,numeric__Số giảm trong năm,numeric__Ngàn VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,22.588.435,532.912.977,(527.900.808),27.600.604,22588435.0,532912977.0,-527900808.0,27600604.0
Thuế thu nhập doanh nghiệp (TM số 32.1),Phải thu > Thuế thu nhập doanh nghiệp (TM số 32.1),Thuế thu nhập doanh nghiệp (TM số 32.1),7.539,-,(7.539),-,7539.0,,-7539.0,
Thuế khác,Phải thu > Thuế khác,Thuế khác,3.131.960,4.086.659,(3.797.794),3.420.825,3131960.0,4086659.0,-3797794.0,3420825.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,25.727.934,536.999.636,(531.706.141),31.021.429,25727934.0,536999636.0,-531706141.0,31021429.0
Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,
Thuế giá trị gia tăng,Phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.980.608,33.168.729,(15.635.632),19.513.705,1980608.0,33168729.0,-15635632.0,19513705.0
Thuế thu nhập cá nhân,Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.924.169,502.269.865,(501.108.877),3.085.157,1924169.0,502269865.0,-501108877.0,3085157.0
Thuế thu nhập doanh nghiệp (TM số 32.1),Phải trả > Thuế thu nhập doanh nghiệp (TM số 32.1),Thuế thu nhập doanh nghiệp (TM số 32.1),103.625,-,(103.625),-,103625.0,,-103625.0,
Thuế khác,Phải trả > Thuế khác,Thuế khác,367.200,4.228.090,(4.595.290),-,367200.0,4228090.0,-4595290.0,
TỔNG CỘNG,Phải trả > TỔNG CỘNG,TỔNG CỘNG,4.375.602,539.666.684,(521.443.424),22.598.862,4375602.0,539666684.0,-521443424.0,22598862.0
