row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Trả trước cho nhà cung cấp hàng hóa và dịch vụ,Trả trước cho nhà cung cấp hàng hóa và dịch vụ,Trả trước cho nhà cung cấp hàng hóa và dịch vụ,168.270.256,996.970.472,168270256.0,996970472.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Công ty TNHH Dịch vụ Nông nghiệp,Trong đó: > - Công ty TNHH Dịch vụ Nông nghiệp,- Công ty TNHH Dịch vụ Nông nghiệp,127.491.235,969.470.197,127491235.0,969470197.0
Tây Nguyên,Trong đó: > Tây Nguyên,Tây Nguyên,40.779.021,27.500.275,40779021.0,27500275.0
- Các nhà cung cấp khác,- Các nhà cung cấp khác,- Các nhà cung cấp khác,,,,
Trả trước cho nhà thầu xây dựng và mua máy móc thiết bị,- Các nhà cung cấp khác > Trả trước cho nhà thầu xây dựng và mua máy móc thiết bị,Trả trước cho nhà thầu xây dựng và mua máy móc thiết bị,17.899.060,25.118.960,17899060.0,25118960.0
TỔNG CỘNG,- Các nhà cung cấp khác > TỔNG CỘNG,TỔNG CỘNG,186.169.316,1.022.089.432,186169316.0,1022089432.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Trả trước các bên liên quan (TM số 33),Trong đó: > Trả trước các bên liên quan (TM số 33),Trả trước các bên liên quan (TM số 33),127.491.235,969.470.197,127491235.0,969470197.0
Trả trước các bên thứ ba,Trong đó: > Trả trước các bên thứ ba,Trả trước các bên thứ ba,58.678.081,52.619.235,58678081.0,52619235.0
Dự phòng trả trước cho người bán ngắn hạn khó đòi,Trong đó: > Dự phòng trả trước cho người bán ngắn hạn khó đòi,Dự phòng trả trước cho người bán ngắn hạn khó đòi,(4.869.307),(6.549.643),-4869307.0,-6549643.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,181.300.009,1.015.539.789,181300009.0,1015539789.0
