row_label_raw,row_label_full,Tên,Chức vụ,Ngàn VND,Ngàn VND_1,numeric__Chức vụ,numeric__Ngàn VND,numeric__Ngàn VND_1
Tên,Tên,Tên,Chức vụ,Thu nhập (*),Thu nhập (*),,,
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh,Tên > Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh,Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh,Chủ tịch HĐQT,2.490.672,2.490.672,,2490672.0,2490672.0
Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh,Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh,Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh,Thành viên HĐQT kiểm,,,,,
Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh,Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh > Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh,Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh,Phó Tổng Giám đốc,1.441.127,1.445.675,,1441127.0,1445675.0
Ông Võ Trường SơnBà Hồ Thị Kim Chi,Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh > Ông Võ Trường SơnBà Hồ Thị Kim Chi,Ông Võ Trường SơnBà Hồ Thị Kim Chi,Thành viên HĐQT,1.343.874,1.711.306,,1343874.0,1711306.0
Ông Võ Trường SơnBà Hồ Thị Kim Chi,Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh > Ông Võ Trường SơnBà Hồ Thị Kim Chi,Ông Võ Trường SơnBà Hồ Thị Kim Chi,Phó Tổng Giám đốc,1.342.607,1.259.405,,1342607.0,1259405.0
Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn,Ông Đoàn Nguyên ĐứcBà Võ Thị Mỹ Hạnh > Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn,Trường Ban Kiểm soát,747.408,738.957,,747408.0,738957.0
Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn,Thành viên Ban Kiểm soát,,,,,
Minh Hòa,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn > Minh Hòa,Minh Hòa,,360.342,-,,360342.0,
Bà Đình Thị Lệ Sa,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn > Bà Đình Thị Lệ Sa,Bà Đình Thị Lệ Sa,Thành viên Ban Kiểm soát,252.076,-,,252076.0,
Ông Trần Văn Dai,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn > Ông Trần Văn Dai,Ông Trần Văn Dai,Thành viên HĐQT độc lập,162.000,324.000,,162000.0,324000.0
Ông Bùi Lê Quang,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn > Ông Bùi Lê Quang,Ông Bùi Lê Quang,Thành viên HĐQT,162.000,216.000,,162000.0,216000.0
Bà Hà Kiết Trân,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn > Bà Hà Kiết Trân,Bà Hà Kiết Trân,Thành viên HĐQT độc lập,162.000,-,,162000.0,
Ông Phạm Ngoc Châu,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn > Ông Phạm Ngoc Châu,Ông Phạm Ngoc Châu,Thành viên Ban Kiểm soát,108.000,216.000,,108000.0,216000.0
Ông Nguyễn Tiến Hưng,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn > Ông Nguyễn Tiến Hưng,Ông Nguyễn Tiến Hưng,Thành viên Ban Kiểm soát,108.000,144.000,,108000.0,144000.0
Ông Nguyễn Chí Thắng,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn > Ông Nguyễn Chí Thắng,Ông Nguyễn Chí Thắng,Thành viên HĐQT,-,108.000,,,108000.0
Ông Lê Hồng Phong,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn > Ông Lê Hồng Phong,Ông Lê Hồng Phong,Thành viên Ban Kiểm soát,-,72.000,,,72000.0
Các cá nhân khác,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn > Các cá nhân khác,Các cá nhân khác,,871.667,840.367,,871667.0,840367.0
TỔNG CỘNG,Ông Nguyễn Xuân ThắngBà Đỗ Trần Thủy TrangBà Đoàn Nguyễn > TỔNG CỘNG,TỔNG CỘNG,,10.880.184,10.808.952,,10880184.0,10808952.0
