row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả tiền mượn từ các công ty và cá nhân (i),Ngắn hạn > Phải trả tiền mượn từ các công ty và cá nhân (i),Phải trả tiền mượn từ các công ty và cá nhân (i),62.620.187,63.520.814,62620187.0,63520814.0
Phải trả nhân viên,Ngắn hạn > Phải trả nhân viên,Phải trả nhân viên,9.706.921,2.678.043,9706921.0,2678043.0
Khác,Ngắn hạn > Khác,Khác,46.412.153,47.431.139,46412153.0,47431139.0
,,,118.739.261,113.629.996,118739261.0,113629996.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả tiền mượn từ các công ty và cá nhân (i),Dài hạn > Phải trả tiền mượn từ các công ty và cá nhân (i),Phải trả tiền mượn từ các công ty và cá nhân (i),217.210.195,21.938.626,217210195.0,21938626.0
Khác,Dài hạn > Khác,Khác,5.537.879,-,5537879.0,
,,,222.748.074,21.938.626,222748074.0,21938626.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,341.487.335,135.568.622,341487335.0,135568622.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,339.440.551,127.792.055,339440551.0,127792055.0
Phải trả ngắn hạn các bên liên quan (TM số 33),Trong đó: > Phải trả ngắn hạn các bên liên quan (TM số 33),Phải trả ngắn hạn các bên liên quan (TM số 33),2.046.784,7.776.567,2046784.0,7776567.0
