row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về bán hàng và cung cấp dịch vụ,Phải thu về bán hàng và cung cấp dịch vụ,Phải thu về bán hàng và cung cấp dịch vụ,1.273.474.926,1.376.688.046,1273474926.0,1376688046.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Trong đó: > - Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,- Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,753.805.853,246.296.165,753805853.0,246296165.0
- Công ty Cổ phần Cá nước ngọt Gia Lai,Trong đó: > - Công ty Cổ phần Cá nước ngọt Gia Lai,- Công ty Cổ phần Cá nước ngọt Gia Lai,208.646.697,221.341.692,208646697.0,221341692.0
- Công ty Cổ phần Chế biến Thức ăn Gia sức Đông Gia Lai,Trong đó: > - Công ty Cổ phần Chế biến Thức ăn Gia sức Đông Gia Lai,- Công ty Cổ phần Chế biến Thức ăn Gia sức Đông Gia Lai,83.291.735,218.494.975,83291735.0,218494975.0
- Công ty TNHH Xuất nhập khẩu Nông nghiệp Linkin,Trong đó: > - Công ty TNHH Xuất nhập khẩu Nông nghiệp Linkin,- Công ty TNHH Xuất nhập khẩu Nông nghiệp Linkin,15.436.967,76.686.898,15436967.0,76686898.0
- Các khoản phải thu khác,Trong đó: > - Các khoản phải thu khác,- Các khoản phải thu khác,212.293.674,613.868.316,212293674.0,613868316.0
Phải thu khác,Trong đó: > Phải thu khác,Phải thu khác,5.432.889,7.030.422,5432889.0,7030422.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,1.278.907.815,1.383.718.468,1278907815.0,1383718468.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu các bên thứ ba,Trong đó: > Phải thu các bên thứ ba,Phải thu các bên thứ ba,440.625.554,696.649.225,440625554.0,696649225.0
"Phải thu các bên liên quan(Thuyết minh (""TM"") số 33)","Trong đó: > Phải thu các bên liên quan(Thuyết minh (""TM"") số 33)","Phải thu các bên liên quan(Thuyết minh (""TM"") số 33)",838.282.261,687.069.243,838282261.0,687069243.0
Dự phòng phải thu ngắn hạn khách hàng khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khách hàng khó đòi,Dự phòng phải thu ngắn hạn khách hàng khó đòi,(5.546.703),(14.128.653),-5546703.0,-14128653.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.273.361.118,1.369.589.815,1273361118.0,1369589815.0
