row_label_raw,row_label_full,Số đầu năm > Lợi nhuận trong năm phân bổ cho cổ đông không kiểm soát,Năm nay > 581.381.851 > 117.342.613,Ngân VNDNăm trước > 318.505.598 > 46.688.738,numeric__Năm nay > 581.381.851 > 117.342.613,numeric__Ngân VNDNăm trước > 318.505.598 > 46.688.738
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,127.123.700,216.575.980,127123700.0,216575980.0
Giải thể công ty con,Giải thể công ty con,Giải thể công ty con,(653.894),(388.465),-653894.0,-388465.0
Mua công ty con,Mua công ty con,Mua công ty con,145.901.326,-,145901326.0,
Số cuối năm,Số cuối năm,Số cuối năm,971.095.596,581.381.851,971095596.0,581381851.0
