row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,VNDTổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,5.017.358.593,32.332.237.177,37.349.595.770,5017358593.0,32332237177.0,37349595770.0
Mua mới,Nguyên giá > Mua mới,Mua mới,290.867.000,4.544.628.178,4.835.495.178,290867000.0,4544628178.0,4835495178.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.308.225.593,36.876.865.355,42.185.090.948,5308225593.0,36876865355.0,42185090948.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,2.006.367.138,5.126.419.538,7.132.786.676,2006367138.0,5126419538.0,7132786676.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(3.404.942.971),(16.024.862.292),(19.429.805.263),-3404942971.0,-16024862292.0,-19429805263.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(960.958.266),(4.802.421.498),(5.763.379.764),-960958266.0,-4802421498.0,-5763379764.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(4.365.901.237),(20.827.283.790),(25.193.185.027),-4365901237.0,-20827283790.0,-25193185027.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.612.415.622,16.307.374.885,17.919.790.507,1612415622.0,16307374885.0,17919790507.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,942.324.356,16.049.581.565,16.991.905.921,942324356.0,16049581565.0,16991905921.0
