row_label_raw,row_label_full,Ông Trần Trọng Gia Vinh,Chủ tịch Ủy ban kiểm toán,numeric__Chủ tịch Ủy ban kiểm toán
Bà Trần Thị Hường,Bà Trần Thị Hường,Bà Trần Thị Hường,Thành viên,
Ông Lê Quang Phúc,Ông Lê Quang Phúc,Ông Lê Quang Phúc,Thành viên,
