row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Bà Trần Thị Hường,Bà Trần Thị Hường,Bà Trần Thị Hường,Phó Chủ tịch,Hoàn trả đặt cọc Thu tiền mua cổ phiếu Chuyển nhượng bất động sản,800.000.000,- 20.794.000.000 6.327.974.546,,,800000000.0,
Ông Lê Minh Dũng,Ông Lê Minh Dũng,Ông Lê Minh Dũng,Thành viên độc lập HĐQT,Hoàn trả đặt cọc,800.000.000,-,,,800000000.0,
Huy Khương,Huy Khương,Huy Khương,Bên liên quan của Thành viên HĐQT,Phí dịch vụ tư vấn,535.997.782,-,,,535997782.0,
Ông Lê Quang Phúc,Ông Lê Quang Phúc,Ông Lê Quang Phúc,Thành viên HĐQT,Hoàn trả đặt cọc Thu tiền mua cổ phiếu Chuyển nhượng bất động sản,400.000.000,- 12.000.000.000 8.764.080.000,,,400000000.0,
Ông Trần Trọng Gia Vinh,Ông Trần Trọng Gia Vinh,Ông Trần Trọng Gia Vinh,Thành viên độc lập HĐQT,Hoàn trả đặt cọc,400.000.000,-,,,400000000.0,
BIDICI,BIDICI,BIDICI,Công ty liên kết,Hoàn tiền mượn Chuyển nhượng đất Gớp vốn Mượn tiền,46.000.000,335.100.000.000 335.000.000.000 24.500.000.000 20.950.000.000,,,46000000.0,
Ông Nguyễn Tấn Danh,Ông Nguyễn Tấn Danh,Ông Nguyễn Tấn Danh,Phó Chủ tịch,Thu tiền mua cổ phiếu,-,6.000.000.000,,,,6000000000.0
Ông Đoàn Việt Đại Từ,Ông Đoàn Việt Đại Từ,Ông Đoàn Việt Đại Từ,Thành viên HĐQT,Thu tiền mua cổ phiếu,-,2.000.000.000,,,,2000000000.0
Ông Nguyễn Thanh Thảo Ông Dương Hồng Cẩm,Ông Nguyễn Thanh Thảo Ông Dương Hồng Cẩm,Ông Nguyễn Thanh Thảo Ông Dương Hồng Cẩm,Phó Tổng Giám đốc Phó Tổng Giám đốc,Thu tiền mua cổ phiếu Thu tiền mua cổ phiếu,-,2.600.000.000 1.600.000.000,,,,
Ông Nguyễn Đình Trí,Ông Nguyễn Thanh Thảo Ông Dương Hồng Cẩm > Ông Nguyễn Đình Trí,Ông Nguyễn Đình Trí,Phó Tổng Giám đốc,Thu tiền mua cổ phiếu,-,1.600.000.000,,,,1600000000.0
