row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Serenity,Phải thu dài hạn khác > Serenity,Serenity,Công ty con,Tạm ứng phát triển dự án,272.029.276.326,7.715.276.326,,,272029276326.0,7715276326.0
Coinin,Phải thu dài hạn khác > Coinin,Coinin,Công ty con,Tạm ứng phát triển dự án,123.122.876.412,106.176.748.812,,,123122876412.0,106176748812.0
Bắc Cường,Phải thu dài hạn khác > Bắc Cường,Bắc Cường,Công ty con,Tạm ứng phát triển dự án,118.307.000.000,273.000.000,,,118307000000.0,273000000.0
Cao Óc Bình Dương,Phải thu dài hạn khác > Cao Óc Bình Dương,Cao Óc Bình Dương,Công ty con,Tạm ứng phát triển dự án,46.961.161.441,-,,,46961161441.0,
ĐK Phú Quốc,Phải thu dài hạn khác > ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,Tạm ứng phát triển dự án,41.348.900.000,40.977.900.000,,,41348900000.0,40977900000.0
Sài Gòn – KL,Phải thu dài hạn khác > Sài Gòn – KL,Sài Gòn – KL,Công ty liên kết,Tạm ứng phát triển dự án,-,190.418.337.068,,,,190418337068.0
AKYN,Phải thu dài hạn khác > AKYN,AKYN,Bên liên quan của Phó Chủ tịch HĐQT,Vốn góp từ việc thanh lý HĐHTĐT,-,30.000.000.000,,,,30000000000.0
Bến Thành – Long Hải,Phải thu dài hạn khác > Bến Thành – Long Hải,Bến Thành – Long Hải,Công ty con,Tạm ứng phát triển dự án,-,4.439.976.000,,,,4439976000.0
,,,,,601.769.214.179,380.001.238.206,,,601769214179.0,380001238206.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Phú Mỹ Hưng,Phải trả người bán ngắn hạn > Phú Mỹ Hưng,Phú Mỹ Hưng,Bên liên quan của Phó Chủ tịch HĐQT,Mua căn hộ,19.626.474.002,58.826.474.002,,,19626474002.0,58826474002.0
Huy Khương,Phải trả người bán ngắn hạn > Huy Khương,Huy Khương,Bên liên quan của Thành viên HĐQT,Mua dịch vụ,294.458.182,-,,,294458182.0,
,,,,,19.920.932.184,58.826.474.002,,,19920932184.0,58826474002.0
