row_label_raw,row_label_full,col_0,Số đầu năm,Tăng,Giảm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng,numeric__Giảm,numeric__VND Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,265.658.879.411,306.563.962.999,(267.942.964.910),304.279.877.500,265658879411.0,306563962999.0,-267942964910.0,304279877500.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,12.528.701.711,1.839.670.474,(14.368.372.185),-,12528701711.0,1839670474.0,-14368372185.0,
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.980.474.197,29.143.867.258,(21.247.856.895),9.876.484.560,1980474197.0,29143867258.0,-21247856895.0,9876484560.0
Khác,Phải nộp > Khác,Khác,1.112.394.665,6.422.633.159,(6.670.923.352),864.104.472,1112394665.0,6422633159.0,-6670923352.0,864104472.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,281.280.449.984,343.970.133.890,(310.230.117.342),315.020.466.532,281280449984.0,343970133890.0,-310230117342.0,315020466532.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp (*),Phải thu > Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),11.932.171.942,18.245.643.500,(24.827.815.442),5.350.000.000,11932171942.0,18245643500.0,-24827815442.0,5350000000.0
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,20.065.918.138,(5.946.875.415),14.119.042.723,,20065918138.0,-5946875415.0,14119042723.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,11.932.171.942,38.311.561.638,(30.774.690.857),19.469.042.723,11932171942.0,38311561638.0,-30774690857.0,19469042723.0
