row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
KCN Phát Đạt,Phải trả ngắn hạn khác > KCN Phát Đạt,KCN Phát Đạt,Công ty con,Lãi đi vayMượn tiền,101.014.978.082-,-1.577.600.000.000,,,,-1577600000000.0
AYKN,Phải trả ngắn hạn khác > AYKN,AYKN,Bên liên quancủa Phó Chủ tịch,Mượn tiền,46.399.000.000,-,,,46399000000.0,
Bến ThànhLong Hải,Phải trả ngắn hạn khác > Bến ThànhLong Hải,Bến ThànhLong Hải,Công ty con,Lãi đi vay,30.697.029.268,-,,,30697029268.0,
Cao Óc BìnhDương,Phải trả ngắn hạn khác > Cao Óc BìnhDương,Cao Óc BìnhDương,Công ty con,Lãi đi vayMượn tiền,6.566.095.426-,-268.677.338.559,,,,-268677338559.0
KDDV Phát Đạt,Phải trả ngắn hạn khác > KDDV Phát Đạt,KDDV Phát Đạt,Công ty con,Lãi đi vayMượn tiền,3.962.533.699-,-83.882.000.000,,,,-83882000000.0
Ông Lê QuangPhúc,Phải trả ngắn hạn khác > Ông Lê QuangPhúc,Ông Lê QuangPhúc,Thành viênHĐQT,Đặt cọcmua sắn phẩm,400.000.000,800.000.000,,,400000000.0,800000000.0
Ông BùiQuang Anh Vũ,Phải trả ngắn hạn khác > Ông BùiQuang Anh Vũ,Ông BùiQuang Anh Vũ,TổngGiám đốc,Đặt cọcmua sắn phẩm,-,800.000.000,,,,800000000.0
Bà Trần ThịHường,Phải trả ngắn hạn khác > Bà Trần ThịHường,Bà Trần ThịHường,Phó Chủ tịchHĐQT,Đặt cọcmua sắn phẩm,-,800.000.000,,,,800000000.0
Ông Lê MinhDũng,Phải trả ngắn hạn khác > Ông Lê MinhDũng,Ông Lê MinhDũng,Thành viên độclập HĐQT,Đặt cọcmua sắn phẩm,-,800.000.000,,,,800000000.0
Ông NguyễnThanh Thảo,Phải trả ngắn hạn khác > Ông NguyễnThanh Thảo,Ông NguyễnThanh Thảo,Phó TổngGiám đốc,Đặt cọcmua sắn phẩm,-,800.000.000,,,,800000000.0
Ông TrầnTrọng Gia Vinh,Phải trả ngắn hạn khác > Ông TrầnTrọng Gia Vinh,Ông TrầnTrọng Gia Vinh,Thành viên độclập HĐQT,Đặt cọcmua sắn phẩm,-,400.000.000,,,,400000000.0
,,,,,189.039.636.475,1.934.559.338.559,,,189039636475.0,1934559338559.0
