row_label_raw,row_label_full,Ông Nguyễn Văn Đạt,Chủ tịch HĐQT,numeric__Chủ tịch HĐQT
Bà Trần Thị Hường,Bà Trần Thị Hường,Bà Trần Thị Hường,Phó Chủ tịch HĐQT,
Ông Nguyễn Tấn Danh,Ông Nguyễn Tấn Danh,Ông Nguyễn Tấn Danh,Phó Chủ tịch HĐQT,
Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Ông Bùi Quang Anh Vũ,Thành viên HĐQT kiểm Tổng Giám đốc,
Ông Lê Quang Phúc,Ông Lê Quang Phúc,Ông Lê Quang Phúc,Thành viên HĐQT,
Ông Đoàn Viết Đại Tử,Ông Đoàn Viết Đại Tử,Ông Đoàn Viết Đại Tử,Thành viên HĐQT,
Ông Khương Văn Mười,Ông Khương Văn Mười,Ông Khương Văn Mười,Thành viên độc lập HĐQT,
Ông Trần Trọng Gia Vinh,Ông Trần Trọng Gia Vinh,Ông Trần Trọng Gia Vinh,Thành viên độc lập HĐQT,
Ông Lê Minh Dũng,Ông Lê Minh Dũng,Ông Lê Minh Dũng,Thành viên độc lập HĐQT,
KCN Phát Đạt,KCN Phát Đạt,KCN Phát Đạt,Công ty con,
Bến Thành - Long Hải,Bến Thành - Long Hải,Bến Thành - Long Hải,Công ty con,
Cao ốc Bình Dương,Cao ốc Bình Dương,Cao ốc Bình Dương,Công ty con,
Serenity,Serenity,Serenity,Công ty con,
Bắc Cường,Bắc Cường,Bắc Cường,Công ty con,
ĐK Phú Quốc,ĐK Phú Quốc,ĐK Phú Quốc,Công ty con,
Coinin,Coinin,Coinin,Công ty con,
Ngô Mây,Ngô Mây,Ngô Mây,Công ty con,
KDDV Phát Đạt,KDDV Phát Đạt,KDDV Phát Đạt,Công ty con,
Cao ốc Hòa Phú,Cao ốc Hòa Phú,Cao ốc Hòa Phú,Công ty con gián tiếp,
Cao ốc Thiên Long,Cao ốc Thiên Long,Cao ốc Thiên Long,Công ty con gián tiếp,
Sài Gòn - KL,Sài Gòn - KL,Sài Gòn - KL,Công ty liên kết,
BIDICI,BIDICI,BIDICI,Công ty liên kết,
Công trình PDP,Công trình PDP,Công trình PDP,Công ty liên kết,
"Công ty Cổ phần Đầu tư Thương mại Dịch vụ AKYN (""AKYN"")","Công ty Cổ phần Đầu tư Thương mại Dịch vụ AKYN (""AKYN"")","Công ty Cổ phần Đầu tư Thương mại Dịch vụ AKYN (""AKYN"")",Bên liên quan của Phó Chủ tịch HĐQT,
"Công ty Cổ phần Đầu tư Phú Mỹ Hưng (""Phú Mỹ Hưng"")","Công ty Cổ phần Đầu tư Phú Mỹ Hưng (""Phú Mỹ Hưng"")","Công ty Cổ phần Đầu tư Phú Mỹ Hưng (""Phú Mỹ Hưng"")",Bên liên quan của Phó Chủ tịch HĐQT,
"Công ty Cổ phần Tư vấn Quản lý BDSC (""BDSC"")","Công ty Cổ phần Tư vấn Quản lý BDSC (""BDSC"")","Công ty Cổ phần Tư vấn Quản lý BDSC (""BDSC"")",Bên liên quan của Thành viên HĐQT,
"Công ty TNHH Tư vấn thiết kế QHXH TMDV Huy Khương (""Huy Khương"")","Công ty TNHH Tư vấn thiết kế QHXH TMDV Huy Khương (""Huy Khương"")","Công ty TNHH Tư vấn thiết kế QHXH TMDV Huy Khương (""Huy Khương"")",Bên liên quan của Thành viên HĐQT,
Công ty Cổ phần Khu du lịch Nghị dưỡng A,Công ty Cổ phần Khu du lịch Nghị dưỡng A,Công ty Cổ phần Khu du lịch Nghị dưỡng A,Bên liên quan của Phó Chủ tịch HĐQT,
Công ty TNHH Tư vấn Giải pháp Bền Vũng,Công ty TNHH Tư vấn Giải pháp Bền Vũng,Công ty TNHH Tư vấn Giải pháp Bền Vũng,Bên liên quan của Thành viên HĐQT,
