row_label_raw,row_label_full,Bên cho vay,Số cuối năm > VND,Số cuối năm > USD,Kỳ hạn trả gốc,Mục đích,Lãi suất%/năm,Hình thức đảm bảo,numeric__Số cuối năm > VND,numeric__Số cuối năm > USD,numeric__Kỳ hạn trả gốc,numeric__Mục đích,numeric__Lãi suất%/năm,numeric__Hình thức đảm bảo
Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,Ông Vũ Dương Hiền,,,,,,
Khoản vay 1,Ông Vũ Dương Hiền > Khoản vay 1,Khoản vay 1,120.000.000.000,,Ngày 07 tháng 07 năm 2023,Bổ sung vốn lưu động,12,"6.500.000 cổ phiếu PDR sở hữu bởi cổ đông; và Quyền sở hữu các căn hộ hình thành trong tương lai tại TP Quy Nhơn,Tỉnh Bình Định",120000000000.0,,,,12.0,
Công ty Cổ phần Đầu tư Năng lượng Phát Đạt,Công ty Cổ phần Đầu tư Năng lượng Phát Đạt,Công ty Cổ phần Đầu tư Năng lượng Phát Đạt,Công ty Cổ phần Đầu tư Năng lượng Phát Đạt,Công ty Cổ phần Đầu tư Năng lượng Phát Đạt,Công ty Cổ phần Đầu tư Năng lượng Phát Đạt,Công ty Cổ phần Đầu tư Năng lượng Phát Đạt,Công ty Cổ phần Đầu tư Năng lượng Phát Đạt,Công ty Cổ phần Đầu tư Năng lượng Phát Đạt,,,,,,
Khoản vay 1,Công ty Cổ phần Đầu tư Năng lượng Phát Đạt > Khoản vay 1,Khoản vay 1,101.700.000.000,,Ngày 25 tháng 10 năm 2025,Bổ sung vốn lưu động,"14,6",Tín chấp,101700000000.0,,,,14.6,
Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam),Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam),Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam),Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam),Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam),Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam),Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam),Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam),Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam),,,,,,
Khoản vay 1,Công ty Tài chính TNHH MTV Mirae Asset (Việt Nam) > Khoản vay 1,Khoản vay 1,100.000.000.000,,Ngày 15 tháng 5 năm 2023,Bổ sung vốn lưu động,"10,5",14.000.000 cổ phiếu PDR sở hữu bởi cổ đông,100000000000.0,,,,10.5,
Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,Ông Đoàn Đức Luyện,,,,,,
Khoản vay 1,Ông Đoàn Đức Luyện > Khoản vay 1,Khoản vay 1,100.000.000.000,,Ngày 07 tháng 07 năm 2023,Bổ sung vốn lưu động,12,"5.000.000 cổ phiếu PDR sở hữu bởi cổ đông; và Quyền sở hữu các căn hộ hình thành trong tương lai tại TP Quy Nhơn,Tỉnh Bình Định",100000000000.0,,,,12.0,
