row_label_raw,row_label_full,Mã số > 01 > 02 > 04 > 05 > 06,"CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:Khấu hao và hao mòn tài sản cố định và bắt động sản đầu tư 12, 13, 14Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay và phát hành trái phiếu 28","Thuyết minh > 12, 13, 14",Năm nay > 1.500.889.847.16411.022.557.13024.330.656.415(1.166.320.543.734)646.565.127.284,Năm trước > 2.365.378.943.0677.669.793.597- (3.685.575.363)155.137.713.100,"numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:Khấu hao và hao mòn tài sản cố định và bắt động sản đầu tư 12, 13, 14Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay và phát hành trái phiếu 28","numeric__Thuyết minh > 12, 13, 14",numeric__Năm nay > 1.500.889.847.16411.022.557.13024.330.656.415(1.166.320.543.734)646.565.127.284,numeric__Năm trước > 2.365.378.943.0677.669.793.597- (3.685.575.363)155.137.713.100
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,1.016.487.644.259(2.633.713.818.531)40.926.381.965189.456.107.9255.201.966.454(455.373.486.476),2.524.500.874.401(921.549.551.978)780.091.776.1332.029.295.578.482(236.505.867)(260.153.728.921),,,,
09,09,09,Tăng các khoản phải thu,,1.016.487.644.259(2.633.713.818.531)40.926.381.965189.456.107.9255.201.966.454(455.373.486.476),2.524.500.874.401(921.549.551.978)780.091.776.1332.029.295.578.482(236.505.867)(260.153.728.921),,,,
10,10,10,Giảm hàng tồn kho,,1.016.487.644.259(2.633.713.818.531)40.926.381.965189.456.107.9255.201.966.454(455.373.486.476),2.524.500.874.401(921.549.551.978)780.091.776.1332.029.295.578.482(236.505.867)(260.153.728.921),,,,
11,11,11,Tăng các khoản phải trả,,1.016.487.644.259(2.633.713.818.531)40.926.381.965189.456.107.9255.201.966.454(455.373.486.476),2.524.500.874.401(921.549.551.978)780.091.776.1332.029.295.578.482(236.505.867)(260.153.728.921),,,,
12,12,12,Giảm (tăng) chi phí trả trước,,1.016.487.644.259(2.633.713.818.531)40.926.381.965189.456.107.9255.201.966.454(455.373.486.476),2.524.500.874.401(921.549.551.978)780.091.776.1332.029.295.578.482(236.505.867)(260.153.728.921),,,,
14,14,14,Tiền lãi vay đã trả,,1.016.487.644.259(2.633.713.818.531)40.926.381.965189.456.107.9255.201.966.454(455.373.486.476),2.524.500.874.401(921.549.551.978)780.091.776.1332.029.295.578.482(236.505.867)(260.153.728.921),,,,
15,14 > 15,15,Thuế thu nhập doanh nghiệp đã nộp,,(261.360.792.968),,,,-261360792968.0,
17,14 > 17,17,Tiền chi khác cho hoạt động kinh doanh 23,,(21.541.575.218),(545.216.750.385)(33.527.704.101),,,-21541575218.0,
20,14 > 20,20,Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động kinh doanh,,(2.119.917.572.590),3.573.203.987.764,,,-2119917572590.0,3573203987764.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
