row_label_raw,row_label_full,Lãi do thanh lý khoản đầu tư (Thuyết minh số 4),Năm nay > 1.362.738.155.569,VNDNăm trước > -,numeric__Năm nay > 1.362.738.155.569,numeric__VNDNăm trước > -
"Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",3.582.388.165,3.685.575.363,3582388165.0,3685575363.0
Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,-,2.542.500.000,,2542500000.0
TOTAL,TOTAL,TOTAL,1.366.320.543.734,6.228.075.363,1366320543734.0,6228075363.0
