row_label_raw,row_label_full,"Bên cho vay > ACA Vietnam Real Estate III LP (""ACA"") > Khoản vay 1 (*)","Số cuối năm > VND > ACA Vietnam Real Estate III LP (""ACA"") > 710.550.000.000","Số cuối năm > USD > ACA Vietnam Real Estate III LP (""ACA"") > 30.000.000","Kỳ hạn trả gốc > ACA Vietnam Real Estate III LP (""ACA"") > Ngày 23 tháng 3 năm 2025","Mục đích > ACA Vietnam Real Estate III LP (""ACA"") > Tài trợ các dự án của công ty con","Lãi suất%/năm > ACA Vietnam Real Estate III LP (""ACA"") > 8","Hình thức đảm bảo > ACA Vietnam Real Estate III LP (""ACA"") > Tín chấp","numeric__Số cuối năm > VND > ACA Vietnam Real Estate III LP (""ACA"") > 710.550.000.000","numeric__Số cuối năm > USD > ACA Vietnam Real Estate III LP (""ACA"") > 30.000.000","numeric__Kỳ hạn trả gốc > ACA Vietnam Real Estate III LP (""ACA"") > Ngày 23 tháng 3 năm 2025","numeric__Mục đích > ACA Vietnam Real Estate III LP (""ACA"") > Tài trợ các dự án của công ty con","numeric__Lãi suất%/năm > ACA Vietnam Real Estate III LP (""ACA"") > 8","numeric__Hình thức đảm bảo > ACA Vietnam Real Estate III LP (""ACA"") > Tín chấp"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.132.250.000.000,30.000.000,,,,,1132250000000.0,30000000.0,,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,320.000.000.000,,,,,,320000000000.0,,,,,
Dài hạn,Trong đó: > Dài hạn,Dài hạn,812.250.000.000,,,,,,812250000000.0,,,,,
