row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị/Số có khả năng trả nợ,Số đầu năm > Giá trị/Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị/Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị/Số có khả năng trả nợ
,,,VND,VND,,
Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,5.445.955.759,-,5445955759.0,
Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,Công ty Cổ phần S-Decoro,1.204.054.798,1.226.054.798,1204054798.0,1226054798.0
Công ty Cổ phần HASKY,Công ty Cổ phần HASKY,Công ty Cổ phần HASKY,-,8.386.495.689,,8386495689.0
Khác,Khác,Khác,2.540.134.712,2.845.477.350,2540134712.0,2845477350.0
,,,9.190.145.269,12.458.027.837,9190145269.0,12458027837.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả người bán ngắn hạn là các bên liên quan(Chi tiết tại Thuyết minh số 32),Trong đó: > Phải trả người bán ngắn hạn là các bên liên quan(Chi tiết tại Thuyết minh số 32),Phải trả người bán ngắn hạn là các bên liên quan(Chi tiết tại Thuyết minh số 32),7.623.202.645,1.226.054.798,7623202645.0,1226054798.0
