row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.750.000.000.000,(320.509.091),690.998.561.115,4.440.678.052.024,3750000000000.0,-320509091.0,690998561115.0,4440678052024.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,489.900.845.713,489.900.845.713,,,489900845713.0,489900845713.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.750.000.000.000,(320.509.091),1.180.899.406.828,4.930.578.897.737,3750000000000.0,-320509091.0,1180899406828.0,4930578897737.0
Lỗ trong năm,Lỗ trong năm,Lỗ trong năm,-,-,(103.004.963.898),(103.004.963.898),,,-103004963898.0,-103004963898.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.750.000.000.000,(320.509.091),1.077.894.442.930,4.827.573.933.839,3750000000000.0,-320509091.0,1077894442930.0,4827573933839.0
