row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Giá gốc,VND Dự phòng,Giá gốc,VND Dự phòng,,,,
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,
Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Đầu tư vào công ty con > Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,2.454.450.000.000,-,2.454.450.000.000,-,2454450000000.0,,2454450000000.0,
Công ty Cổ phần Đầu tư Xây dựng Xuân La,Đầu tư vào công ty con > Công ty Cổ phần Đầu tư Xây dựng Xuân La,Công ty Cổ phần Đầu tư Xây dựng Xuân La,756.600.000.000,-,756.600.000.000,-,756600000000.0,,756600000000.0,
Công ty Cổ phần Sao Ảnh Dương,Đầu tư vào công ty con > Công ty Cổ phần Sao Ảnh Dương,Công ty Cổ phần Sao Ảnh Dương,473.475.000.000,(105.492.925.389),473.475.000.000,-,473475000000.0,-105492925389.0,473475000000.0,
Công ty Cổ phần Đầu tư Xây dựng Long Biên,Đầu tư vào công ty con > Công ty Cổ phần Đầu tư Xây dựng Long Biên,Công ty Cổ phần Đầu tư Xây dựng Long Biên,542.000.000.000,-,542.000.000.000,-,542000000000.0,,542000000000.0,
,,,4.226.525.000.000,(105.492.925.389),4.226.525.000.000,-,4226525000000.0,-105492925389.0,4226525000000.0,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,
Công ty Cổ phần Sunshine Tây Hồ,Đầu tư vào công ty liên kết > Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,450.000.000.000,-,450.000.000.000,-,450000000000.0,,450000000000.0,
,,,450.000.000.000,-,450.000.000.000,-,450000000000.0,,450000000000.0,
