row_label_raw,row_label_full,Chỉ tiêu > Năm 2022,Lĩnh vực xây lắp VND > Năm 2022,Lĩnh vực thủy điện VND > Năm 2022,Khác VND > Năm 2022,Tổng cộng VND > Năm 2022,numeric__Lĩnh vực xây lắp VND > Năm 2022,numeric__Lĩnh vực thủy điện VND > Năm 2022,numeric__Khác VND > Năm 2022,numeric__Tổng cộng VND > Năm 2022
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,139.772.784.857,343.329.069.058,134.472.984.331,617.574.838.246,139772784857.0,343329069058.0,134472984331.0,617574838246.0
Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,-,-,-,-,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,139.772.784.857,343.329.069.058,134.472.984.331,617.574.838.246,139772784857.0,343329069058.0,134472984331.0,617574838246.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,(8.984.868.654),-,55.006.386.368,46.021.517.714,-8984868654.0,,55006386368.0,46021517714.0
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(2.037.457.548.067),,,,-2037457548067.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,(1.991.436.030.353),,,,-1991436030353.0
Doanh thu hoạt động tài chính,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,3.792.764.337.957,,,,3792764337957.0
Chi phí tài chính,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Chi phí tài chính,Chi phí tài chính,,,,(322.322.838.353),,,,-322322838353.0
Thu nhập khác,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Thu nhập khác,Thu nhập khác,,,,758.503.368,,,,758503368.0
Chi phí khác,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Chi phí khác,Chi phí khác,,,,(65.237.836.625),,,,-65237836625.0
Chi phí thuế TNDN hiện hành,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(201.952.237.413),,,,-201952237413.0
Chi phí thuế TNDN hoãn lại,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,8.056.358.883,,,,8056358883.0
Lợi nhuận sau thuế Thu nhập doanh nghiệp,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Lợi nhuận sau thuế Thu nhập doanh nghiệp,Lợi nhuận sau thuế Thu nhập doanh nghiệp,,,,1.220.630.257.464,,,,1220630257464.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,-,-,79.314.291,79.314.291,,,79314291.0,79314291.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,2.837.394.652,-,84.817.422.559,87.654.817.211,2837394652.0,,84817422559.0,87654817211.0
Năm 2021,Năm 2021,Năm 2021,Năm 2021,Năm 2021,Năm 2021,Năm 2021,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Năm 2021 > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,198.764.253.250,323.421.688.734,105.040.340.442,627.226.282.426,198764253250.0,323421688734.0,105040340442.0,627226282426.0
Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,-,-,-,-,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,198.764.253.250,323.421.688.734,105.040.340.442,627.226.282.426,198764253250.0,323421688734.0,105040340442.0,627226282426.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,44.025.719.077,-,39.882.861.139,83.908.580.216,44025719077.0,,39882861139.0,83908580216.0
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(9.908.473.104),,,,-9908473104.0
