row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2022VND,01/01/2022VND,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022VND,numeric__01/01/2022VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,7.488.110.747.330,9.782.668.986.777,,300.0,,7488110747330.0,9782668986777.0
I.,I.,I.,Nợ ngắn hạn,310,,3.611.545.162.306,4.675.621.525.363,,310.0,,3611545162306.0,4675621525363.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,14,1.346.264.686.192,1.887.085.783.528,,311.0,14.0,1346264686192.0,1887085783528.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,17,51.474.842.755,46.881.025.516,,312.0,17.0,51474842755.0,46881025516.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,15,40.564.503.343,460.266.303,,313.0,15.0,40564503343.0,460266303.0
4.,4.,4.,Phải trả người lao động,314,,16.957.435.574,14.809.943.234,,314.0,,16957435574.0,14809943234.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,18,395.997.782.629,351.011.505.373,,315.0,18.0,395997782629.0,351011505373.0
6.,6.,6.,Phải trả nội bộ ngắn hạn,316,,-,-,,316.0,,,
7.,7.,7.,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,-,-,,317.0,,,
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,19,31.403.942.179,35.810.930.938,,318.0,19.0,31403942179.0,35810930938.0
9.,9.,9.,Phải trả ngắn hạn khác,319,20,441.016.649.205,865.202.786.027,,319.0,20.0,441016649205.0,865202786027.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,16,1.285.939.228.744,1.472.313.568.649,,320.0,16.0,1285939228744.0,1472313568649.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,,-,-,,321.0,,,
12.,12.,12.,"Quỹ khen thưởng, phúc lợi",322,22,1.926.091.685,2.045.715.795,,322.0,22.0,1926091685.0,2045715795.0
13.,13.,13.,Quỹ bình ổn giá,323,,-,-,,323.0,,,
14.,14.,14.,Giao dịch mua bán lại trái phiếu,324,,-,-,,324.0,,,
II.,II.,II.,Nợ dài hạn,330,,3.876.565.585.024,5.107.047.461.414,,330.0,,3876565585024.0,5107047461414.0
1.,1.,1.,Phải trả người bán dài hạn,331,14,1.063.526.544.282,1.552.386.407.049,,331.0,14.0,1063526544282.0,1552386407049.0
2.,2.,2.,Người mua trả tiền trước dài hạn,332,,-,-,,332.0,,,
3.,3.,3.,Chỉ phí phải trả dài hạn,333,,-,-,,333.0,,,
4.,4.,4.,Phải trả nội bộ về vốn kinh doanh,334,,-,-,,334.0,,,
5.,5.,5.,Phải trả nội bộ dài hạn,335,,-,-,,335.0,,,
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,19,140.619.193.340,144.454.262.248,,336.0,19.0,140619193340.0,144454262248.0
7.,7.,7.,Phải trả dài hạn khác,337,20,581.966.607.950,605.570.164.157,,337.0,20.0,581966607950.0,605570164157.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,16,2.090.453.239.452,2.804.636.627.960,,338.0,16.0,2090453239452.0,2804636627960.0
9.,9.,9.,Trái phiếu chuyển đổi,339,,-,-,,339.0,,,
10.,10.,10.,Cổ phiếu ưu đãi,340,,-,-,,340.0,,,
11.,11.,11.,Thuế thu nhập doanh nghiệp hoãn lại phải trả,341,,-,-,,341.0,,,
12.,12.,12.,Dự phòng phải trả dài hạn,342,,-,-,,342.0,,,
13.,13.,13.,Quỹ phát triển khoa học và công nghệ,343,,-,-,,343.0,,,
