row_label_raw,row_label_full,Nội dung,31/12/2022 > Giá trị,31/12/2022 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,01/01/2022 > Giá trị,01/01/2022 > Số có khả năng trả nợ,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.285.939.228.744,1.285.939.228.744,418.666.828.206,605.041.168.111,1.472.313.568.649,1.472.313.568.649,1285939228744.0,1285939228744.0,418666828206.0,605041168111.0,1472313568649.0,1472313568649.0
- Vay ngắn hạn phải trả bên liên quan,- Vay ngắn hạn phải trả bên liên quan,- Vay ngắn hạn phải trả bên liên quan,-,-,218.000.000.000,248.000.000.000,30.000.000.000,30.000.000.000,,,218000000000.0,248000000000.0,30000000000.0,30000000000.0
Công ty TNHH MTV Hạ tầng Sông Đà,Công ty TNHH MTV Hạ tầng Sông Đà,Công ty TNHH MTV Hạ tầng Sông Đà,-,-,18.000.000.000,48.000.000.000,30.000.000.000,30.000.000.000,,,18000000000.0,48000000000.0,30000000000.0,30000000000.0
- Vay ngắn hạn ngân hàng,- Vay ngắn hạn ngân hàng,- Vay ngắn hạn ngân hàng,-,-,100.000.000.000,100.000.000.000,-,-,,,100000000000.0,100000000000.0,,
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,-,-,100.000.000.000,100.000.000.000,-,-,,,100000000000.0,100000000000.0,,
- Vay ngắn hạn các cá nhân,- Vay ngắn hạn các cá nhân,- Vay ngắn hạn các cá nhân,252.888.819,252.888.819,-,-,252.888.819,252.888.819,252888819.0,252888819.0,,,252888819.0,252888819.0
- Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,1.285.686.339.925,1.285.686.339.925,200.666.828.206,357.041.168.111,1.442.060.679.830,1.442.060.679.830,1285686339925.0,1285686339925.0,200666828206.0,357041168111.0,1442060679830.0,1442060679830.0
Ngân hàng NIB,Ngân hàng NIB,Ngân hàng NIB,556.882.136.910,556.882.136.910,39.859.828.868,84.889.938.436,601.912.246.478,601.912.246.478,556882136910.0,556882136910.0,39859828868.0,84889938436.0,601912246478.0,601912246478.0
Quỹ tích lũy nợ - Bộ Tài chính,Quỹ tích lũy nợ - Bộ Tài chính,Quỹ tích lũy nợ - Bộ Tài chính,594.920.282.524,594.920.282.524,41.230.045.147,58.053.931.652,611.744.169.029,611.744.169.029,594920282524.0,594920282524.0,41230045147.0,58053931652.0,611744169029.0,611744169029.0
Ngân hàng Phát triển Châu Á - vay thông thường,Ngân hàng Phát triển Châu Á - vay thông thường,Ngân hàng Phát triển Châu Á - vay thông thường,130.224.021.209,130.224.021.209,115.989.749.738,210.802.908.163,225.037.179.634,225.037.179.634,130224021209.0,130224021209.0,115989749738.0,210802908163.0,225037179634.0,225037179634.0
Ngân hàng Phát triển Châu Á - vay đặc biệt,Ngân hàng Phát triển Châu Á - vay đặc biệt,Ngân hàng Phát triển Châu Á - vay đặc biệt,3.659.899.282,3.659.899.282,3.587.204.453,3.294.389.860,3.367.084.689,3.367.084.689,3659899282.0,3659899282.0,3587204453.0,3294389860.0,3367084689.0,3367084689.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,2.090.453.239.452,2.090.453.239.452,103.501.315.364,817.684.703.872,2.804.636.627.960,2.804.636.627.960,2090453239452.0,2090453239452.0,103501315364.0,817684703872.0,2804636627960.0,2804636627960.0
- Vay dài hạn ngân hàng,- Vay dài hạn ngân hàng,- Vay dài hạn ngân hàng,2.090.453.239.452,2.090.453.239.452,95.910.406.273,130.093.794.781,2.124.636.627.960,2.124.636.627.960,2090453239452.0,2090453239452.0,95910406273.0,130093794781.0,2124636627960.0,2124636627960.0
Ngân hàng Phát triển Châu Á - vay thông thường,Ngân hàng Phát triển Châu Á - vay thông thường,Ngân hàng Phát triển Châu Á - vay thông thường,2.025.621.448.806,2.025.621.448.806,92.927.884.632,125.777.048.060,2.058.470.612.234,2.058.470.612.234,2025621448806.0,2025621448806.0,92927884632.0,125777048060.0,2058470612234.0,2058470612234.0
Ngân hàng Phát triển Châu Á - vay đặc biệt,Ngân hàng Phát triển Châu Á - vay đặc biệt,Ngân hàng Phát triển Châu Á - vay đặc biệt,64.831.790.646,64.831.790.646,2.982.521.641,4.316.746.721,66.166.015.726,66.166.015.726,64831790646.0,64831790646.0,2982521641.0,4316746721.0,66166015726.0,66166015726.0
- Trái phiếu thường,- Trái phiếu thường,- Trái phiếu thường,-,-,7.590.909.091,687.590.909.091,680.000.000.000,680.000.000.000,,,7590909091.0,687590909091.0,680000000000.0,680000000000.0
Cộng,Cộng,Cộng,3.376.392.468.196,3.376.392.468.196,522.168.143.570,1.422.725.871.983,4.276.950.196.609,4.276.950.196.609,3376392468196.0,3376392468196.0,522168143570.0,1422725871983.0,4276950196609.0,4276950196609.0
