row_label_raw,row_label_full,01/01/2022VND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,31/12/2022VND,numeric__Số phải nộp trong nămVND,numeric__Số đã thực nộp trong nămVND,numeric__31/12/2022VND
22.962.495-,22.962.495-,22.962.495-,9.985.737.053,9.901.556.785,107.142.763,9985737053.0,9901556785.0,107142763.0
22.962.495-,22.962.495-,22.962.495-,201.952.237.413,162.412.788.881,39.539.448.532,201952237413.0,162412788881.0,39539448532.0
307.423.673-,307.423.673-,307.423.673-,2.127.962.793,1.647.354.553,788.031.913,2127962793.0,1647354553.0,788031913.0
307.423.673-,307.423.673-,307.423.673-,17.640.138.277,17.640.138.277,-,17640138277.0,17640138277.0,
121.385.634,121.385.634,121.385.634,12.000.000,12.000.000,121.385.634,12000000.0,12000000.0,121385634.0
8.494.501,8.494.501,8.494.501,-,-,8.494.501,,,8494501.0
460.266.303,460.266.303,460.266.303,231.718.075.536,191.613.838.496,40.564.503.343,231718075536.0,191613838496.0,40564503343.0
01/01/2022VND,01/01/2022VND,01/01/2022VND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,31/12/2022VND,,,
650.580.760,01/01/2022VND > 650.580.760,650.580.760,650.580.760,-,-,650580760.0,,
11.017.365,01/01/2022VND > 11.017.365,11.017.365,-,-,11.017.365,,,11017365.0
661.598.125,01/01/2022VND > 661.598.125,661.598.125,650.580.760,-,11.017.365,650580760.0,,11017365.0
