row_label_raw,row_label_full,Chỉ tiêu,Lĩnh vực xây lắp VND,Lĩnh vực thủy điện VND,Khác VND,Tổng cộng VND,numeric__Lĩnh vực xây lắp VND,numeric__Lĩnh vực thủy điện VND,numeric__Khác VND,numeric__Tổng cộng VND
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,93.817.053.320,,,,93817053320.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,248.537.585.920,,,,248537585920.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(226.986.670.809),,,,-226986670809.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,1.731.372.858,,,,1731372858.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,(40.330.918.691),,,,-40330918691.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,-,,,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,-,,,,
Lợi nhuận sau thuế Thu nhập doanh nghiệp,Chi phí thuế TNDN hoãn lại > Lợi nhuận sau thuế Thu nhập doanh nghiệp,Lợi nhuận sau thuế Thu nhập doanh nghiệp,,,,76.768.422.598,,,,76768422598.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế TNDN hoãn lại > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,-,-,354.321.227,354.321.227,,,354321227.0,354321227.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế TNDN hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,3.589.691.380,-,39.428.597.382,43.018.288.762,3589691380.0,,39428597382.0,43018288762.0
Tài sản và nợ phải trả của bộ phận theo lĩnh vực kinh doanh của Tổng Công ty như sau:,Tài sản và nợ phải trả của bộ phận theo lĩnh vực kinh doanh của Tổng Công ty như sau:,Tài sản và nợ phải trả của bộ phận theo lĩnh vực kinh doanh của Tổng Công ty như sau:,Tài sản và nợ phải trả của bộ phận theo lĩnh vực kinh doanh của Tổng Công ty như sau:,Tài sản và nợ phải trả của bộ phận theo lĩnh vực kinh doanh của Tổng Công ty như sau:,Tài sản và nợ phải trả của bộ phận theo lĩnh vực kinh doanh của Tổng Công ty như sau:,Tài sản và nợ phải trả của bộ phận theo lĩnh vực kinh doanh của Tổng Công ty như sau:,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,Lĩnh vực xây lắp VND,Lĩnh vực thủy điện VND,Khác VND,Tổng cộng VND,,,,
Số tại 31/12/2022,Số tại 31/12/2022,Số tại 31/12/2022,,,,,,,,
Tải sản trực tiếp của bộ phận,Số tại 31/12/2022 > Tải sản trực tiếp của bộ phận,Tải sản trực tiếp của bộ phận,960.849.970.132,53.531.533.656,769.298.784.913,1.783.680.288.701,960849970132.0,53531533656.0,769298784913.0,1783680288701.0
Các tài sản không phân bổ theo bộ phận,Số tại 31/12/2022 > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,11.436.326.180.006,,,,11436326180006.0
Tổng tài sản,Số tại 31/12/2022 > Tổng tài sản,Tổng tài sản,,,,13.220.006.468.707,,,,13220006468707.0
Nợ phải trả trực tiếp của bộ phận,Số tại 31/12/2022 > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,6.201.921.440.093,749.441.859.276,203.944.280.446,7.155.307.579.815,6201921440093.0,749441859276.0,203944280446.0,7155307579815.0
Nợ phải trả không phân bổ theo bộ phận,Số tại 31/12/2022 > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,332.803.167.515,,,,332803167515.0
Tổng nợ phải trả,Số tại 31/12/2022 > Tổng nợ phải trả,Tổng nợ phải trả,,,,7.488.110.747.330,,,,7488110747330.0
Số tại 31/12/2021,Số tại 31/12/2021,Số tại 31/12/2021,,,,,,,,
Tải sản trực tiếp của bộ phận,Số tại 31/12/2021 > Tải sản trực tiếp của bộ phận,Tải sản trực tiếp của bộ phận,3.066.645.602.505,30.343.294.507,995.222.067.723,4.092.210.964.735,3066645602505.0,30343294507.0,995222067723.0,4092210964735.0
Các tài sản không phân bổ theo bộ phận,Số tại 31/12/2021 > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,10.335.770.819.870,,,,10335770819870.0
Tổng tài sản,Số tại 31/12/2021 > Tổng tài sản,Tổng tài sản,,,,14.427.981.784.605,,,,14427981784605.0
Nợ phải trả trực tiếp của bộ phận,Số tại 31/12/2021 > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,8.084.896.808.092,779.621.039.505,209.578.094.733,9.074.095.942.330,8084896808092.0,779621039505.0,209578094733.0,9074095942330.0
Nợ phải trả không phân bổ theo bộ phận,Số tại 31/12/2021 > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,708.573.044.447,,,,708573044447.0
Tổng nợ phải trả,Số tại 31/12/2021 > Tổng nợ phải trả,Tổng nợ phải trả,,,,9.782.668.986.777,,,,9782668986777.0
