row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2022 VND,01/01/2022 VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022 VND,numeric__01/01/2022 VND
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,7.666.872.498.538,8.995.595.431.695,,200.0,,7666872498538.0,8995595431695.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,1.172.665.691.305,1.183.853.026.116,,210.0,,1172665691305.0,1183853026116.0
1.,1.,1.,Phải thu dài hạn của khách hàng,211,7,477.357.633.476,477.304.492.410,,211.0,7.0,477357633476.0,477304492410.0
2.,2.,2.,Trà trước cho người bán dài hạn,212,,-,-,,212.0,,,
3.,3.,3.,Vốn kinh doanh ở đơn vị trực thuộc,213,,-,-,,213.0,,,
4.,4.,4.,Phải thu nội bộ dài hạn,214,,-,-,,214.0,,,
5.,5.,5.,Phải thu về cho vay dài hạn,215,9,695.308.057.829,706.548.533.706,,215.0,9.0,695308057829.0,706548533706.0
6.,6.,6.,Phải thu dài hạn khác,216,,-,-,,216.0,,,
7.,7.,7.,Dự phòng phải thu dài hạn khó đòi,219,,-,-,,219.0,,,
II.,II.,II.,Tài sản cố định,220,,779.171.147.805,813.856.029.166,,220.0,,779171147805.0,813856029166.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,779.171.147.805,813.840.195.851,,221.0,12.0,779171147805.0,813840195851.0
,,,- Nguyên giá,222,,1.099.168.942.225,1.100.810.027.115,,222.0,,1099168942225.0,1100810027115.0
,,,- Giá trị hao mòn luỹ kế,223,,(319.997.794.420),(286.969.831.264),,223.0,,-319997794420.0,-286969831264.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,,-,-,,224.0,,,
,,,- Nguyên giá,225,,-,-,,225.0,,,
,,,- Giá trị hao mòn luỹ kế,226,,-,-,,226.0,,,
3.,3.,3.,Tài sản cố định vô hình,227,13,-,15.833.315,,227.0,13.0,,15833315.0
,,,- Nguyên giá,228,,1.714.684.123,1.714.684.123,,228.0,,1714684123.0,1714684123.0
,,,- Giá trị hao mòn luỹ kế,229,,(1.714.684.123),(1.698.850.808),,229.0,,-1714684123.0,-1698850808.0
III.,III.,III.,Bất động sản đầu tư,230,,-,-,,230.0,,,
,,,- Nguyên giá,231,,-,-,,231.0,,,
,,,- Giá trị hao mòn luỹ kế,232,,-,-,,232.0,,,
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,48.849.426.755,48.849.426.755,,240.0,,48849426755.0,48849426755.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,-,-,,241.0,,,
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,,48.849.426.755,48.849.426.755,,242.0,,48849426755.0,48849426755.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,6.3,5.658.129.873.790,6.896.146.328.099,,250.0,63.0,5658129873790.0,6896146328099.0
1.,1.,1.,Đầu tư vào công ty con,251,,3.868.624.290.939,3.868.624.290.939,,251.0,,3868624290939.0,3868624290939.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,1.965.728.798.410,3.030.974.293.010,,252.0,,1965728798410.0,3030974293010.0
3.,3.,3.,Đầu tư góp vốn vào các đơn vị khác,253,,173.052.765.095,208.311.087.205,,253.0,,173052765095.0,208311087205.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(349.275.980.654),(211.763.343.055),,254.0,,-349275980654.0,-211763343055.0
5.,5.,5.,Đầu tư nắm giữ đến ngày đáo hạn,255,,-,-,,255.0,,,
VI.,VI.,VI.,Tài sản dài hạn khác,260,,8.056.358.883,52.890.621.559,,260.0,,8056358883.0,52890621559.0
1.,1.,1.,Chi phí trả trước dài hạn,261,5,-,52.890.621.559,,261.0,5.0,,52890621559.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,8.056.358.883,-,,262.0,,8056358883.0,
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế",263,,-,-,,263.0,,,
4.,4.,4.,Tài sản dài hạn khác,268,,-,-,,268.0,,,
5.,5.,5.,Lợi thế thương mại,269,,-,-,,269.0,,,
,,,TỔNG TÀI SẢN,270,,13.220.006.468.707,14.427.981.784.605,,270.0,,13220006468707.0,14427981784605.0
