row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tỉnh: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tỉnh: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.106.947.446.831,534.331.497.878,100.502.806.968,9.070.934.754,1.750.852.686.431,1106947446831.0,534331497878.0,100502806968.0,9070934754.0,1750852686431.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,5.711.614.000,5.562.980.000,38.874.000,11.313.468.000,,5711614000.0,5562980000.0,38874000.0,11313468000.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,646.472.365.687,694.091.060.740,18.954.423.641,13.397.272.394,1.372.915.122.462,646472365687.0,694091060740.0,18954423641.0,13397272394.0,1372915122462.0
Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),Nguyên giá: > Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),-,83.856.864.722,10.715.040.000,-,94.571.904.722,,83856864722.0,10715040000.0,,94571904722.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(117.507.263.298),(347.985.000),-,(117.855.248.298),,-117507263298.0,-347985000.0,,-117855248298.0
Tài sản điều chuyển cho công ty con (*),Nguyên giá: > Tài sản điều chuyển cho công ty con (*),Tài sản điều chuyển cho công ty con (*),(283.142.233.737),(247.234.633.160),-,(968.681.818),(531.345.548.715),-283142233737.0,-247234633160.0,,-968681818.0,-531345548715.0
Góp vốn vào công ty con (**),Nguyên giá: > Góp vốn vào công ty con (**),Góp vốn vào công ty con (**),(54.600.464.982),(88.072.125.314),(1.895.000.000),(6.552.112.221),(151.119.702.517),-54600464982.0,-88072125314.0,-1895000000.0,-6552112221.0,-151119702517.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.415.677.113.799,865.177.015.568,133.492.265.609,14.986.287.109,2.429.332.682.085,1415677113799.0,865177015568.0,133492265609.0,14986287109.0,2429332682085.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
